datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc,count
2007-02-09,5703552.44036054,23780612.718215432,,,53473.600864827,,204795.687552043,5567519.17958307,19516596.4618059,308610.544461163,,794422.310198238,7134904.96152521,7919524.52050075,1086.0,21276377.6138372,1796772.65276905,1105866.8809256,164075.204885104,22290511.539304312,129022.77475055888,6796601.64306545,4469856.05890173,4469856.05890173,6958429.43917724,1357573.16114706,10332486.8683622,1909909.9645011865,2813516.86558661,3962267.03869808,1172764.81673557,,,91237746.6582911,,54499145.4749974,-3249484.34368006,,988553.109432749,2431519.95675865,52713634.3476546,22136802.9041824,27004093.857099,1390761.100317004,27470514.9168042,207107.656348151,25070243.82861237,,,,2431519.95675865,119924.058843294,308610.544461163,,7
2008-02-08,6543219.93284021,23110732.95472129,,,919408.127263161,,559893.975735818,1701591.16090496,23867732.0649314,122878.833833679,,893288.578193185,5954781.5369446,10856390.2754668,1323.0,22316620.6941908,1149805.94070131,75239.8950821701,405515.745411779,23442802.08752434,175585.7447927955,6796601.64306545,-343842.422085358,-343842.422085358,1488736.32818545,5461558.72613042,6038995.68258488,5843917.736993594,1866027.36684101,5005129.35223299,1447646.76890223,,,107242658.16595,,65674838.2439417,-3887290.6208412,,525041.920708118,1627910.64188666,59261202.4620098,29821897.6896413,31042577.2724459,10178905.225774482,27253449.3748259,216597.335272817,31751391.662282165,,,,1627910.64188666,63466.6057998824,122878.833833679,,8
2009-02-06,5782625.81012739,24052445.974009316,,,1166259.30862301,,1117325.96376672,5206893.05678254,24090699.769541,28011.9326547596,,1082223.51065873,8141225.97133227,9208927.73806437,1191.0,25311669.8841303,1290912.40893669,198534.572690609,538529.405287754,26402209.43729591,169034.5061135652,6796601.64306545,3373599.60181807,3373599.60181807,5340212.34876128,6648632.2156072,6751400.99353435,6819942.691248964,2219770.58831061,4569621.58888676,1288111.21567121,,,118571184.510595,,73723905.2557455,-39829.4667434863,,494235.536777415,1931335.21925613,62671709.6895205,27643138.0539018,33834212.8570514,6946083.92548492,32283927.4591896,486532.255297356,29862908.642212443,,,,1931335.21925613,63466.6057998824,28011.9326547596,,9
2010-02-05,5269646.94840926,17716499.0922041,,,228848.199770956,,1175451.50135471,6480285.91380129,20923832.1164213,172911.371190749,,996834.054914667,4027078.00314107,5040287.39412325,1073.0,24639611.0276249,1874931.60034636,94496.0643557443,87752.5208793051,25105261.350241587,-36916.5777492249,6796601.64306545,3116035.82022849,3116035.82022849,3836816.87103712,4875841.30052233,5358696.3045725,5599561.8446412105,2164677.45593699,4478145.14678361,1047324.17530237,,,97802994.3297673,,62266854.5124438,-25850.249993017,,-327321.225664088,805075.344264127,54629359.2469484,18605695.8185526,26995528.4600989,1854820.27876316,33320280.5955141,2020037.09393592,20770373.27448952,,,,805075.344264127,63466.6057998824,172911.371190749,,10
2011-02-04,6923380.20209246,31353461.2671019,,,570961.030135026,,2289958.83036752,3554557.25655012,23511823.6251453,172911.371190749,,911091.764285076,5670109.35376251,6591142.34523662,1288.0,39045288.5182867,2071990.44433515,624369.198783868,339844.107126889,39704912.84091926,-58280.8280425645,6796601.64306545,3551499.90163641,3551499.90163641,5167789.68523652,2724485.39747832,8193520.08405615,3823031.23491014,3903573.42841813,8107340.892426,2939551.20718948,,,111678678.118573,,70395214.7187696,-25850.249993017,,-34395.2427792185,1317624.42546723,82680622.1854601,33216154.7482786,38386141.9073594,21993655.82580698,37970914.8931414,374717.061611374,44091643.88804436,,,,1317624.42546723,6971915.71134758,172911.371190749,,11
2012-02-03,23195914.8058887,39289132.0886205,,,976620.909434072,,2373796.27747612,2433888.83678388,29069284.9182613,172911.371190749,,926621.657132902,9556181.74201849,10492876.7840579,1493.0,38195690.4962397,2026756.60736374,327097.912250646,691484.986497866,38691010.191933535,-82989.41316530699,6796601.64306545,6425137.56206626,6425137.56206626,8608282.48497343,728961.061587154,467282.731786637,1299045.9943668512,4280309.8231656,8107340.892426,2962572.51952728,,,130907107.80946,,79867964.516972,-25850.249993017,,366536.574813438,1802309.49650106,87877190.539795,36868607.5379657,45046055.3442318,24065060.687011823,40756399.8664305,374717.061611374,46578742.704492,,,,1802309.49650106,5429825.34336072,172911.371190749,,12
2013-02-01,22990641.0611516,28473170.3751577,,,1136275.50549349,,2461930.26190256,14392823.0695842,25187440.3717724,172911.371190749,,1088930.6927646,8212777.91002142,9446717.44822661,1493.0,38671243.0369618,2026756.60736374,189379.250915582,1382468.53168375,38917436.06315206,142034.438186686,6796601.64306545,975303.142215246,975303.142215246,1136275.50549349,1685475.33314868,4043247.00704767,1874854.584064262,2622902.62518081,8107340.892426,3153164.52774444,,,129516469.701166,,87881441.3873757,-25850.249993017,,366536.574813438,1802309.49650106,78412478.8415966,35101444.1572031,35451795.7713969,8067556.08900379,40006366.7559167,374717.061611374,37724346.782383926,,,,1802309.49650106,5429825.34336072,172911.371190749,,13
2013-12-31,22990641.0611516,28473170.3751577,,,1136275.50549349,,2461930.26190256,14392823.0695842,25187440.3717724,172911.371190749,,1088930.6927646,8212777.91002142,9446717.44822661,1493.0,38671243.0369618,2026756.60736374,189379.250915582,1382468.53168375,38917436.06315206,142034.438186686,6796601.64306545,975303.142215246,975303.142215246,1136275.50549349,1685475.33314868,4043247.00704767,1874854.584064262,2622902.62518081,8107340.892426,3153164.52774444,,,129516469.701166,,87881441.3873757,-25850.249993017,,366536.574813438,1802309.49650106,78412478.8415966,35101444.1572031,35451795.7713969,8067556.08900379,40006366.7559167,374717.061611374,37724346.782383926,,,,1802309.49650106,5429825.34336072,172911.371190749,,14
2014-12-31,22990641.0611516,28473170.3751577,,,1136275.50549349,,2461930.26190256,14392823.0695842,25187440.3717724,172911.371190749,,1088930.6927646,8212777.91002142,9446717.44822661,1493.0,38671243.0369618,2026756.60736374,189379.250915582,1382468.53168375,38917436.06315206,142034.438186686,6796601.64306545,975303.142215246,975303.142215246,1136275.50549349,1685475.33314868,4043247.00704767,1874854.584064262,2622902.62518081,8107340.892426,3153164.52774444,,,129516469.701166,,87881441.3873757,-25850.249993017,,366536.574813438,1802309.49650106,78412478.8415966,35101444.1572031,35451795.7713969,8067556.08900379,40006366.7559167,374717.061611374,37724346.782383926,,,,1802309.49650106,5429825.34336072,172911.371190749,,15
2015-12-31,22990641.0611516,28473170.3751577,,,1136275.50549349,,2461930.26190256,14392823.0695842,25187440.3717724,172911.371190749,,1088930.6927646,8212777.91002142,9446717.44822661,1493.0,38671243.0369618,2026756.60736374,189379.250915582,1382468.53168375,38917436.06315206,142034.438186686,6796601.64306545,975303.142215246,975303.142215246,1136275.50549349,1685475.33314868,4043247.00704767,1874854.584064262,2622902.62518081,8107340.892426,3153164.52774444,,,129516469.701166,,87881441.3873757,-25850.249993017,,366536.574813438,1802309.49650106,78412478.8415966,35101444.1572031,35451795.7713969,8067556.08900379,40006366.7559167,374717.061611374,37724346.782383926,,,,1802309.49650106,5429825.34336072,172911.371190749,,16
