datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc
2006-02-27,4518786928.78201,3701627588.747201,,,243514652.813791,65426405.8537278,1464246210.04274,946243480.055411,4965911396.39352,95594965.4135149,,,556775500.195458,713509097.693592,110940,720667327.010739,145651592.464983,491886789.400774,,799609521.519317,-45529365.3251874,40078884.6659326,418714275.73142,418714275.73142,553308058.513598,78358140.7310056,860360057.495353,329820465.2671706,483752000.331522,1662492911.47184,1844187294.94784,,,8333522826.12866,,1983215483.67847,-183038919.46182,,,,12184978439.0059,6395048338.36536,5625045321.46959,7745527889.4374695,1706698008.80901,380813381.948638,10371918665.056417,,,,,3428200989.75834,95594965.4135149,
2007-02-20,5378883074.96602,4263623803.4335833,,,307050351.19621,57701202.8344836,1951664988.6911,868089471.820113,5813877696.99529,95594965.4135149,,,652835036.457991,841576660.316626,118823,732028727.253533,297153346.24774,611837817.65878,,820264389.9130387,-51733762.2359167,-173622340.639474,842156907.087528,828521662.369195,1090068426.38656,76698251.5406236,1062000975.7591,385648374.9752576,361620971.905887,1819382230.9022,2130141180.03193,,,9343023953.28644,,2121165093.04443,-183038919.46182,,,,16965036151.6475,7545301146.93657,6803359920.13829,14558680888.03262,2098971441.75981,497346224.779298,14771297064.382889,,,,,6796638633.74725,95594965.4135149,
2008-02-25,2581487915.96761,6861381447.2974,,,2128058199.06631,564350958.421475,2993509976.29295,1735884351.88562,6587016396.52783,95594965.4135149,,710155423.517398,1873990384.75795,2602107059.08518,129908,2168716089.79503,441071811.583631,404104679.991247,,3229129039.2443,-51733762.2359167,-126647212.634036,1140169658.98315,659476397.694945,793121424.903348,54176462.9805238,7598565929.60829,1087776462.6158037,2028114411.6274,17400734847.9101,13580135378.5105,,,11279491372.3102,,2629741228.75483,4550049.60245095,,-1839866.58399592,235078055.438033,36454382900.868,13004514410.3144,11005822427.6753,27457916037.347702,3420811823.54658,659227210.810417,28779548143.04475,,,,235078055.438033,12316727736.3046,95594965.4135149,
2009-02-26,2581487915.96761,6861381447.2974,,,2128058199.06631,564350958.421475,2993509976.29295,1735884351.88562,6587016396.52783,95594965.4135149,,710155423.517398,1110895550.88791,1413543377.25161,129908,2168716089.79503,441071811.583631,404104679.991247,,3229129039.2443,-51733762.2359167,-126647212.634036,1140169658.98315,659476397.694945,793121424.903348,54176462.9805238,7598565929.60829,1087776462.6158037,2028114411.6274,17400734847.9101,13580135378.5105,,,11279491372.3102,,2629741228.75483,4550049.60245095,,-1839866.58399592,235078055.438033,36454382900.868,13004514410.3144,11005822427.6753,27457916037.347702,3420811823.54658,659227210.810417,28779548143.04475,,,,235078055.438033,12316727736.3046,95594965.4135149,
2009-02-27,2626772515.08925,6876350177.80014,,,1480247775.52732,564350958.421475,4137245890.16089,1013477436.11356,8380019041.89206,95594965.4135149,,325170568.44327,1110895550.88791,1413543377.25161,136100,1046151512.78288,624275654.799346,56748857.019052,,1483709283.781328,-51733762.2359167,-644534365.999916,1725054393.36884,945231631.470066,988532978.096476,57336606.2118226,22397251451.6571,713622133.3081726,1188384906.05387,2674354396.08057,4815114714.44347,,,14598703676.605,,3605727570.56793,270460.197648901,,-1746045.16291357,52771276.3030989,48766324632.8679,28947086405.5437,35007001347.3393,21926357310.996483,3189588718.11968,664433737.856614,39355119223.89959,,,,52771276.3030989,9001647436.09958,95594965.4135149,
2010-02-25,2737638199.62206,6274591460.573788,,,1511020524.76665,21423399.4159079,4368323661.91376,1409648869.72456,7855357229.57109,21646725.9920976,,304188521.101758,924262490.850435,1248331471.79223,136622,982299286.720495,571664634.484338,194357928.8782,,1484749520.700911,-51733762.2359167,-412730554.429365,1724744058.18015,738420462.005383,869567221.439615,74428012.5980645,7380705837.02686,780058461.4327435,927166867.548531,2245362618.10685,5088277142.98803,,,13636526344.3853,,3348354853.57613,300427.417969421,,-4604781.30905343,208218356.067113,27792809846.1891,12229000849.5677,12301628956.3076,22736175952.1273,3739515782.85518,579343701.082288,23797816436.12208,,,,208218356.067113,10312759569.6043,21646725.9920976,
2011-02-24,2706028891.05745,5950823283.700085,,,1261115167.96201,18879213.4974249,5106596138.265,1147946224.58698,7230497794.76958,23396846.7794796,,334982336.352083,939993291.740283,1287251960.0265,141429,985658738.786703,553180250.605311,71966549.9297706,,1383874220.105678,-51733762.2359167,-285456452.27744,1125598175.35951,1056021648.95994,1278141191.34506,86411313.5977526,9843868037.66972,844256302.5215706,753775860.236773,2318011529.51642,3085889128.87432,,,12287572336.7668,,2779585359.76189,-15778271.5938733,,-690336.90054177,372541809.109758,29315329708.9024,16268913324.2191,15598631353.8091,20220544955.66849,3583360477.94796,529994363.922146,25505711097.41159,,,,372541809.109758,8250764280.08829,23396846.7794796,
2012-02-29,6821996915.92233,8919023273.825241,,,1931034172.62136,300121350.524272,5967461683.2233,1072140877.39806,14973980353.4369,42431529.9805825,,794910604.427184,1115909956.96375,1940494583.82743,162262,2080235734.60194,537518265.398058,73452935.6504854,,3960947200.93204,-51733762.2359167,-211476858.873786,801566857.475728,763413394.990291,1036519757.5534,184386875.572816,11033988517.0097,1940163605.320386,2247901149.24272,7000292503.33981,3481641151.57282,,,23725094894.4078,,5265106994.05825,-33572080.5048544,,36826044.9708738,302014566.213592,39987189371.3786,23598361102.9515,23288503690.7573,21748556049.436943,2765729804.81553,1478836438.75728,34828124121.24277,,,,302014566.213592,8003090189.70874,42431529.9805825,
2013-02-28,7084699951.38009,9267342147.060371,,,1420181229.81317,300121350.524272,5060760930.903,1055095646.63817,19330547353.0188,46135012.1384843,,1192567006.01647,1359857650.17691,2659430287.36308,161865,2078301757.0456,537518265.398058,57106123.2715854,,3686144764.28911,230917004.829006,-67999292.669411,-1565275453.28003,-1652516611.84558,-2046223049.7282,179632966.803884,9731999108.9429,2859304736.9775143,2214777735.51298,6361251259.69759,2988472865.86975,,,31173591054.8607,,7047682498.48269,-3033334017.77232,,36826044.9708738,302014566.213592,33745017180.7051,20244446674.8469,21426368950.7468,14723750752.1902,2156808569.90184,1558928073.21353,29107883383.20672,,,,302014566.213592,5648001568.83312,46135012.1384843,
2014-02-27,7260493429.69459,9394602044.602358,,,1077209834.74448,300121350.524272,5731844359.08679,901511118.082855,18868185988.9628,27796215.7544602,,950216138.645298,1434376696.36737,2466207813.57094,157689,2263238437.85909,537518265.398058,273667488.206834,,3728886294.9803495,215688206.833989,-395640912.609616,582425405.352283,541852278.500151,1252407935.59117,163664012.095555,8753992296.34109,2637539667.372245,2101164275.32507,5831457773.96432,2650050081.4938,,,29205039150.4385,,6307914517.23617,-83829488.0556396,,36826044.9708738,302014566.213592,33179603279.2561,19221785965.8301,21214974964.7717,15513238952.52495,2713049634.56305,1516792030.69247,28622664387.81375,,,,302014566.213592,6152969356.36529,27796215.7544602,
