datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc
2005-04-09,119200837.900132,115311649.33497831,,,13140879.7653959,,30280969.15547,26643379.9232615,212048765.893407,616859.967527973,1702.08052009234,24118198.9777241,20326774.8111353,35040010.8661906,2237,2120219.09784834,3710383.4212346,2471468.72839188,10141007.9450086,5684307.4013314005,4658121.3579728,-8449779.84462492,2028342.93694158,2523060.72643952,3614266.82213214,4247521.49069261,18238831.4193907,2532248.3425302,15712236.9944548,131013991.973643,96869276.8821943,,,359675381.238391,,115681980.937403,-722994.712366284,,-4986755.3181393,813457.39387448,315518991.566902,166667596.323061,205640050.30031,141329564.6243746,64442645.9997017,58984495.3021408,250031784.29166004,,,,813457.39387448,56050818.810418,616859.967527973,
2006-03-15,119200837.900132,115311649.33497831,,,13140879.7653959,,30280969.15547,26643379.9232615,212048765.893407,616859.967527973,1702.08052009234,24118198.9777241,15177779.7892755,29184850.2842246,2237,2120219.09784834,3710383.4212346,2471468.72839188,10141007.9450086,5684307.4013314005,4658121.3579728,-8449779.84462492,2028342.93694158,2523060.72643952,3614266.82213214,4247521.49069261,18238831.4193907,2532248.3425302,15712236.9944548,131013991.973643,96869276.8821943,,,359675381.238391,,115681980.937403,-722994.712366284,,-4986755.3181393,813457.39387448,315518991.566902,166667596.323061,205640050.30031,141329564.6243746,64442645.9997017,58984495.3021408,250031784.29166004,,,,813457.39387448,56050818.810418,616859.967527973,
2006-03-29,141407743.520525,116053343.018506,,,13140879.7653959,,42034673.6996649,20289849.3707006,267714704.389112,616859.967527973,1702.08052009234,13823294.0006394,15177779.7892755,29184850.2842246,2524,2063794.26704081,3611639.96732142,6283565.61171693,7149671.27245172,5746979.10228631,3897819.43901775,4769428.55113132,14466509.8805338,14466509.8805338,10694581.8918055,4247521.49069261,24925819.2258966,8733289.40669437,17193470.038717,151448790.561101,105525928.462331,,,424350497.874708,,126035915.888182,-39900.0224961224,,-11372194.3428172,-4083560.92305142,362215155.945488,254201667.459951,238099256.657076,104408727.83243938,78351949.3482045,79687224.2389799,282346317.811009,,,,-4083560.92305142,8270311.55945488,616859.967527973,
2007-03-29,141407743.520525,116053343.018506,,,13140879.7653959,,42034673.6996649,20289849.3707006,267714704.389112,616859.967527973,1702.08052009234,13823294.0006394,20408356.1516004,35044171.6769093,2524,2063794.26704081,3611639.96732142,6283565.61171693,7149671.27245172,5746979.10228631,3897819.43901775,4769428.55113132,14466509.8805338,14466509.8805338,10694581.8918055,4247521.49069261,24925819.2258966,8733289.40669437,17193470.038717,151448790.561101,105525928.462331,,,424350497.874708,,126035915.888182,-39900.0224961224,,-11372194.3428172,-4083560.92305142,362215155.945488,254201667.459951,238099256.657076,104408727.83243938,78351949.3482045,79687224.2389799,282346317.811009,,,,-4083560.92305142,8270311.55945488,616859.967527973,
2007-03-30,136066807.669469,118263516.5542814,,,13140879.7653959,,11934207.5190351,9725890.71139204,279007826.658397,616859.967527973,1702.08052009234,14346648.7905939,20408356.1516004,35044171.6769093,2857,2063794.26704081,3536810.01834233,2144991.06636228,6080618.51915388,21106334.8332696,1694974.09640939,-2642839.18132513,7096525.09204154,7096525.09204154,15252745.8333883,4247521.49069261,24797417.1362215,8133989.36408862,18320675.8950133,178533453.97923,112331780.894947,,,449466574.946227,,134670946.648896,-168419.524682968,,351659.967538037,7782329.39655059,362250860.928201,203212977.448173,218461007.53487,157597559.70493922,77645442.9474407,88196589.3297792,281970662.93661994,,,,7782329.39655059,57624403.5312281,616859.967527973,
2008-03-20,188174321.17587,136353005.0331902,,,58432486.7605223,,25292101.2473558,49530854.9857758,360566806.331607,616859.967527973,1702.08052009234,18929382.4494857,30691587.5,51156529.8611111,4036,2063794.26704081,5093997.37398789,4027418.7030418,8417959.29681231,53900813.7719746,435893.281785688,718158.071339996,11457451.236414,11457451.236414,21962993.8726384,4247521.49069261,35672682.9090379,9527171.71201401,30827137.3550223,251920589.612663,165435099.131957,,,598147021.51871,,186974695.820264,-24992.1949084543,,-1270191.55299438,9377218.54256328,527567592.968123,280500634.619593,295804678.678241,251054683.5655408,92926861.1860821,134097826.97498,417305704.3548033,,,,9377218.54256328,97200526.5154278,616859.967527973,
2009-03-20,258666986.203715,192656539.8722412,,,58749115.6539607,,50256856.5857341,24997020.9530199,556874679.889853,616859.967527973,1702.08052009234,29659831.2156665,30691587.5,51156529.8611111,4205,57794381.5993626,5093997.37398789,8886958.93264002,8417959.29681231,75307396.1644372,-15532825.4147971,-3882011.74151885,10808851.0085126,10808851.0085126,15166796.242714,4247521.49069261,57255372.5835535,21162793.6987182,41799002.3483038,358728658.12611,229602549.698774,,,930238770.760823,,294793969.919347,-7513632.77001999,,-10741952.7264086,4552905.94204722,779697566.542262,431351521.798689,450118401.308341,424241190.10078204,120855569.379796,194580343.327602,636695798.7168194,,,,4552905.94204722,154406013.544681,616859.967527973,
2009-03-31,258666986.203715,192656539.8722412,,,58749115.6539607,,50256856.5857341,24997020.9530199,556874679.889853,616859.967527973,1702.08052009234,29659831.2156665,33751509.4339623,62457404.0703837,4205,57794381.5993626,5093997.37398789,8886958.93264002,8417959.29681231,75307396.1644372,-15532825.4147971,-3882011.74151885,10808851.0085126,10808851.0085126,15166796.242714,4247521.49069261,57255372.5835535,21162793.6987182,41799002.3483038,358728658.12611,229602549.698774,,,930238770.760823,,294793969.919347,-7513632.77001999,,-10741952.7264086,4552905.94204722,779697566.542262,431351521.798689,450118401.308341,424241190.10078204,120855569.379796,194580343.327602,636695798.7168194,,,,4552905.94204722,154406013.544681,616859.967527973,
2010-04-01,134680991.124091,64074344.38527169,,,14778547.5576934,,49004231.5753307,6511033.15581515,258581157.647598,616859.967527973,1702.08052009234,27660591.6509191,33751509.4339623,62457404.0703837,3612,55096970.5090763,5093997.37398789,24644796.6557865,8417959.29681231,70865421.9778961,-10369620.111092,-2981232.5488175,-40638347.1339403,-40638347.1339403,-53836770.5434347,4247521.49069261,61639021.2449178,25697621.9435378,24414380.3470194,370652105.36563,211330748.668614,,,431977405.943996,,175744722.212678,-20700246.6930081,,-9797124.20546298,-6413549.33287522,586983774.151062,447963866.689572,275619557.464353,298501669.3580709,72199177.9190288,121181254.080055,501359301.3800611,,,,-6413549.33287522,23428907.5187539,616859.967527973,
2010-04-15,134680991.124091,64074344.38527169,,,14778547.5576934,,49004231.5753307,6511033.15581515,258581157.647598,616859.967527973,1702.08052009234,27660591.6509191,33751509.4339623,62457404.0703837,3612,55096970.5090763,5093997.37398789,24644796.6557865,8417959.29681231,70865421.9778961,-10369620.111092,-2981232.5488175,-40638347.1339403,-40638347.1339403,-53836770.5434347,4247521.49069261,61639021.2449178,25697621.9435378,24414380.3470194,370652105.36563,211330748.668614,,,431977405.943996,,175744722.212678,-20700246.6930081,,-9797124.20546298,-6413549.33287522,586983774.151062,447963866.689572,275619557.464353,298501669.3580709,72199177.9190288,121181254.080055,501359301.3800611,,,,-6413549.33287522,23428907.5187539,616859.967527973,
2011-02-25,213548216.520634,120719771.21262833,,,17627173.9014113,,41188672.4633804,-10830142.505518,345696708.073039,616859.967527973,1702.08052009234,27846732.7135309,33751509.4339623,62457404.0703837,4014,54173009.1231356,5093997.37398789,33078714.6144071,8417959.29681231,69477906.8423517,-9464047.24767574,-771805.23041937,-6198453.56163467,-6198453.56163467,4779189.49903017,4247521.49069261,54660961.541034,26141043.1543041,18985551.1069494,363922459.808708,192221522.881413,,,615512956.136713,,223295259.019464,-2778498.82950973,,2053859.47428266,14141186.9440171,647086650.551803,394902721.757742,353708903.926159,424817892.488796,66411267.3934854,154172382.583105,570382931.629991,,,,14141186.9440171,149062174.396361,616859.967527973,
2011-03-29,213548216.520634,120719771.21262833,,,17627173.9014113,,41188672.4633804,-10830142.505518,345696708.073039,616859.967527973,1702.08052009234,27846732.7135309,12909835.5460869,43559022.0240699,4014,54173009.1231356,5093997.37398789,33078714.6144071,8417959.29681231,69477906.8423517,-9464047.24767574,-771805.23041937,-6198453.56163467,-6198453.56163467,4779189.49903017,4247521.49069261,54660961.541034,26141043.1543041,18985551.1069494,363922459.808708,192221522.881413,,,615512956.136713,,223295259.019464,-2778498.82950973,,2053859.47428266,14141186.9440171,647086650.551803,394902721.757742,353708903.926159,424817892.488796,66411267.3934854,154172382.583105,570382931.629991,,,,14141186.9440171,149062174.396361,616859.967527973,
