datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc
1999-02-12,,699302708.430301,,,405254680.188005,,292975295.265328,748529232.817844,3190069488.39758,9297019.13372481,,435767783.219795,,,32351,157930132.720325,34565840.3689769,,,213235477.310688,,-218956624.118069,729458424.338409,729458424.338409,1018261980.24886,,437079091.838063,205011191.153932,227538583.670265,8230126591.85339,4663289443.43397,,,5928041623.27954,,996807320.709495,-13587945.1006795,,21454659.539365,288207593.145469,8113913852.68183,1688958475.96001,1876329169.27046,4432055890.62081,3763504860.8636,747337307.287879,4333483649.29273,,,,288207593.145469,1977046876.55248,9297019.13372481,
1999-02-16,,699302708.430301,,,405254680.188005,,292975295.265328,748529232.817844,3190069488.39758,9297019.13372481,,435767783.219795,1092762177.52703,1507607078.25488,32351,157930132.720325,34565840.3689769,,,213235477.310688,,-218956624.118069,729458424.338409,729458424.338409,1018261980.24886,,437079091.838063,205011191.153932,227538583.670265,8230126591.85339,4663289443.43397,,,5928041623.27954,,996807320.709495,-13587945.1006795,,21454659.539365,288207593.145469,8113913852.68183,1688958475.96001,1876329169.27046,4432055890.62081,3763504860.8636,747337307.287879,4333483649.29273,,,,288207593.145469,1977046876.55248,9297019.13372481,
2000-02-08,,790608730.678214,,,353595085.846634,,199831025.628115,786873571.320679,2765262977.69498,11205478.0726046,,382231307.587735,961978735.145149,1337474566.91827,30963,135088263.430844,346747293.691154,,125127838.477418,192983233.4726344,1867579.6787674306,-146916268.063038,618791400.23161,618791400.23161,870292130.305624,,326203917.224712,146916268.063038,228467247.369216,7502067569.60878,4086264337.14314,,,5142691908.76592,,852238860.077539,-9960424.95342631,,-14940637.4301395,251500730.074014,7208857560.04229,1364578218.6194,1767352902.67358,3550268969.3368998,3446307033.8855,627506772.065858,3748854941.8458285,,,,251500730.074014,1640980011.07699,11205478.0726046,
2001-02-06,,849150459.320677,,,372920676.496914,,143624855.137325,1032461129.69332,3218330635.51138,8189136.47712818,,424575229.660338,1237114271.35491,1306622238.14753,32755,345203599.189711,233705356.385735,,147404456.588307,443473236.91524917,9449003.62745563,-175751467.470674,860489263.673623,860489263.673623,1207582663.58883,,345833532.764875,175751467.470674,255753031.516465,8771825034.15461,4762927761.81279,,,6036653450.7938,,925372421.915485,149294257.313798,,-7559202.90196448,347723333.490366,8260318971.12168,1495462307.43864,1858304046.73293,4622452574.55128,3877871088.70778,745841352.993829,4370479144.4858,,,,347723333.490366,2158152428.51086,8189136.47712818,
2002-02-05,,910545699.810345,,,519874444.612631,,259018716.220428,1007295007.52389,3072096688.6002,14083759.9836166,,455579018.600468,989494543.43564,1445618422.19408,36298,1350816283.64601,237586907.549707,,194110952.817673,1484918172.185664,-3061686.952960102,163494083.288071,584782208.015386,584782208.015386,816245741.659173,,353318674.3716,23268820.842497,503341335.066647,10368709034.8948,5470622247.54917,,,6073162239.89173,,987087873.634348,-27555182.5766412,,-9797398.24947244,231463533.643786,10061315664.8176,2205026943.52189,2178084098.33584,6349326403.04873,4170017629.93171,789302896.473123,5874152587.949323,,,,231463533.643786,2757967607.22649,14083759.9836166,
2003-01-30,,903007935.008502,,,372018420.555451,,276896372.567542,931023332.703571,3445893916.49348,10424334.0260722,,663248252.408842,694521180.251242,827278053.689097,35579,1366239278.29208,254093141.885509,,186334970.71604,1531725580.955976,-13030417.532590242,163494083.288071,358336482.146231,358336482.146231,514049971.660684,,425443132.43907,23268820.842497,515353013.413943,10849125637.6346,5377001794.82335,,,6824681182.69412,,1152540430.7576,-80137067.8254298,,-20848668.0521443,157016531.267712,10016481957.3021,1424876157.18874,2125912620.44209,6456571887.39845,4508524466.27621,839158889.09881,5486457302.097106,,,,157016531.267712,3125997166.06839,10424334.0260722,
2004-01-29,,991205844.964947,,,422284709.199149,,238284193.170805,886868387.600217,3813957056.37295,10424334.0260722,,738821995.393503,535848970.422133,1168752218.65032,34482,1172386429.71316,277058248.272564,,165670962.707513,1540387461.769848,-39479037.9217902,163494083.288071,221364605.490038,221364605.490038,299617698.513587,,425443132.43907,296797767.233459,1095543302.32968,12179988181.6923,6552110329.37712,,,6899666859.65288,,1193535914.31412,-32429209.7214706,,-51463745.8623337,79663058.6636125,11696369967.1504,1579161516.87161,2172757051.33853,6519681119.65565,4932764791.76368,806500346.116572,6741045725.145687,,,,79663058.6636125,2953173033.11392,10424334.0260722,
2005-02-01,,1045268015.2392321,,,445246010.548151,,100357037.298155,704619480.184932,3850317881.69258,25442629.1741801,,738821995.393503,371301862.690147,1147094581.38353,33433,1102513930.88114,277748701.818133,53712217.1454913,142761419.255122,1469311834.808903,21202190.97848344,7067396.9928278,649493783.640875,649493783.640875,392947272.801226,55832436.2433396,510266062.882167,245238675.6511246,628291592.662392,13112141640.7934,6220722833.08703,,,6940183846.9569,,1221246200.36064,130040104.668032,,-340648535.0543,-257253250.538932,11185569220.5486,1589457583.68697,2137887590.33041,6191746505.4164295,5361327358.75917,804269777.783804,5805866629.608037,,,,-257253250.538932,2929436053.52712,25442629.1741801,
2006-01-31,,1045268015.2392321,,,445246010.548151,,100357037.298155,704619480.184932,3850317881.69258,25442629.1741801,,738821995.393503,189961204.224753,962105667.440475,33433,1102513930.88114,277748701.818133,53712217.1454913,142761419.255122,1469311834.808903,21202190.97848344,7067396.9928278,649493783.640875,649493783.640875,392947272.801226,55832436.2433396,510266062.882167,245238675.6511246,628291592.662392,13112141640.7934,6220722833.08703,,,6940183846.9569,,1221246200.36064,130040104.668032,,-340648535.0543,-257253250.538932,11185569220.5486,1589457583.68697,2137887590.33041,6191746505.4164295,5361327358.75917,804269777.783804,5805866629.608037,,,,-257253250.538932,2929436053.52712,25442629.1741801,
2006-03-13,,1061478184.681325,,,474672681.419387,,172670787.009081,586805503.261938,3616455487.27785,6879314.22346938,,777362507.252039,189961204.224753,962105667.440475,31522,1041528173.43326,269669117.56,5503451.3787755,110756958.997857,1409571484.388872,12382765.60224491,-50218993.8313264,180925964.077245,180925964.077245,176798375.543163,10318971.3352041,680364176.701121,300626031.56561214,619826211.534591,12868445186.4218,5864615375.50764,,,6430782936.09917,,1062166116.10367,46779336.7195918,,-65353485.1229591,-2751725.68938775,10691142234.6938,1615262979.67061,2193125374.44204,5760737730.73326,5040473531.53601,864041866.467754,5636222143.288454,,,,-2751725.68938775,2790937780.46153,6879314.22346938,
