datadate,aps,rects,xads,obs,capxs,dms,ches,oancfs,cogss,drcs,drlts,dps,ebits,ebitdas,emps,gdwlias,dvts,txps,xints,intans,nopis,scstkcs,nis,ibs,pis,acos,lcos,aos,los,ppegts,ppents,pstkqs,xrds,revts,fatls,xsgas,spis,txfeds,txdis,txts,ats,lcts,acts,dlcs,ceqs,invts,lts,pstks,dcvts,dcpstks,txfos,dltts,drs,dcs
2007-10-31,352799722.873153,729337740.1935809,,,303912297.503821,,1299967163.1856,627684167.770419,2687143004.2452,,,281895482.42486,,,51614,75671745.9670572,62831839.7011377,,862896.926473085,209442341.9935472,30309254.5423671,4862424.18067584,302553234.844626,302553234.844626,382543779.928681,,131341541.178468,198664759.381898,167363173.374087,3189603570.04585,1064396302.25845,,,3719193615.21481,,686460391.917133,,51545147.9028698,-8102602.13958227,73281521.4807268,4268336904.73765,714219786.041773,2655004408.21871,19807798.94718971,3290709202.9207,387393260.655459,916349076.5834608,,,,21736373.577856995,2295305.82441841,,
2008-03-30,352799722.873153,729337740.1935809,,,303912297.503821,,1299967163.1856,627684167.770419,2687143004.2452,,,281895482.42486,,,51614,75671745.9670572,62831839.7011377,,862896.926473085,209442341.9935472,30309254.5423671,4862424.18067584,302553234.844626,302553234.844626,382543779.928681,,131341541.178468,198664759.381898,167363173.374087,3189603570.04585,1064396302.25845,,,3719193615.21481,,686460391.917133,,51545147.9028698,-8102602.13958227,73281521.4807268,4268336904.73765,714219786.041773,2655004408.21871,19807798.94718971,3290709202.9207,387393260.655459,916349076.5834608,,,,21736373.577856995,2295305.82441841,,
2008-10-30,386003776.575493,760643354.5736896,,,426028595.130748,,865427430.117223,603393972.748222,3211328482.71716,,,360263791.002906,,,60212,151691081.054003,84708503.7571386,,1101554.15289049,471657191.463782,42091495.842099994,-193873530.908727,361092483.117924,361092483.117924,462374829.175433,,145233346.1577,219845954.513576,238304566.075544,3971658551.24737,1349904084.36028,,,4377338712.55385,,803027924.456467,77513030.758441,68796604.5486424,-9524906.32201182,100797257.990181,4727248905.11973,818389046.588518,2338629784.59072,47983294.65985374,3620864083.55876,448787310.28955,1087769566.977261,,,,32000653.441538602,768056.106602545,,
2009-03-30,386003776.575493,760643354.5736896,,,426028595.130748,,865427430.117223,603393972.748222,3211328482.71716,,,360263791.002906,,,60212,151691081.054003,84708503.7571386,,1101554.15289049,471657191.463782,42091495.842099994,-193873530.908727,361092483.117924,361092483.117924,462374829.175433,,145233346.1577,219845954.513576,238304566.075544,3971658551.24737,1349904084.36028,,,4377338712.55385,,803027924.456467,77513030.758441,68796604.5486424,-9524906.32201182,100797257.990181,4727248905.11973,818389046.588518,2338629784.59072,47983294.65985374,3620864083.55876,448787310.28955,1087769566.977261,,,,32000653.441538602,768056.106602545,,
2009-10-29,359987227.842979,921594141.64306,,,695148968.029138,,1466688398.21934,418035786.321327,4279610374.74707,,,632587326.588426,,,66429,389848440.307568,118427817.078106,,16498531.7685148,1010930583.5694051,26852490.48968032,776900.040469446,-446081877.782274,-446081877.782274,-576530457.304735,,215130683.93363,657193869.688385,805200390.125455,6470984067.98867,2462384678.26791,,,5137428085.79523,,1129174769.72885,77513030.758441,4922721.16552003,-165670402.266289,-120355941.723998,7776317390.53015,1409868754.35047,3398280843.38325,3494016116.552,3914290787.53541,746417307.972481,3799712157.02145,,,,-125278662.88951802,1483759010.92675,,
2010-03-30,359987227.842979,921594141.64306,,,695148968.029138,,1466688398.21934,418035786.321327,4279610374.74707,,,632587326.588426,,,66429,389848440.307568,118427817.078106,,16498531.7685148,1010930583.5694051,26852490.48968032,776900.040469446,-446081877.782274,-446081877.782274,-576530457.304735,,215130683.93363,657193869.688385,805200390.125455,6470984067.98867,2462384678.26791,,,5137428085.79523,,1129174769.72885,77513030.758441,4922721.16552003,-165670402.266289,-120355941.723998,7776317390.53015,1409868754.35047,3398280843.38325,3494016116.552,3914290787.53541,746417307.972481,3799712157.02145,,,,-125278662.88951802,1483759010.92675,,
2010-10-28,598962614.594479,1194965231.328909,,,453654910.121977,,1573464386.2615,833359207.040445,4353846757.11534,,,590505477.851487,,,80590,366835353.841216,54548531.9922962,,28260931.9494971,930552851.059277,30318835.223625053,-112761.823239889,95283740.637706,95283740.637706,154392078.857265,,278465322.490905,459109763.321207,701561778.514873,6387499191.63278,2242585997.75305,,,5700518926.38562,,1130338611.38455,77513030.758441,-64224905.9490691,73302232.7198802,63604715.9212497,7692174629.36015,1771608052.53584,3789833260.11128,3168663613.9525003,3832182372.35181,740485750.374492,3818319715.7072587,,,,127829621.8703188,1265427275.62594,,
2011-03-30,598962614.594479,1194965231.328909,,,453654910.121977,,1573464386.2615,833359207.040445,4353846757.11534,,,590505477.851487,,,80590,366835353.841216,54548531.9922962,,28260931.9494971,930552851.059277,30318835.223625053,-112761.823239889,95283740.637706,95283740.637706,154392078.857265,,278465322.490905,459109763.321207,701561778.514873,6387499191.63278,2242585997.75305,,,5700518926.38562,,1130338611.38455,77513030.758441,-64224905.9490691,73302232.7198802,63604715.9212497,7692174629.36015,1771608052.53584,3789833260.11128,3168663613.9525003,3832182372.35181,740485750.374492,3818319715.7072587,,,,127829621.8703188,1265427275.62594,,
2011-11-10,626828303.66807,1222770937.7029479,,,589941046.542393,,1482617170.17438,764294665.183403,4907648132.29104,,,582108974.864702,,,87809,363756217.919423,77420478.6530367,,21373153.4576067,886554504.389657,17412105.71256769,-135035.718580878,339569820.324714,342428076.36801,454770292.242934,,337499272.639808,474688060.733614,698982389.296452,6624657301.98436,2388654327.96152,,,6541302753.69813,,1151119485.02706,77513030.758441,-64224905.9490691,-12243238.4846663,113317473.842453,7958502620.20445,2458370268.67108,3952660526.51834,2518236103.9086018,4008107692.96452,912833955.622369,3909186527.1196656,,,,113317473.842453,680482495.850872,,
2012-03-30,626828303.66807,1222770937.7029479,,,589941046.542393,,1482617170.17438,764294665.183403,4907648132.29104,,,582108974.864702,,,87809,363756217.919423,77420478.6530367,,21373153.4576067,886554504.389657,17412105.71256769,-135035.718580878,339569820.324714,342428076.36801,454770292.242934,,337499272.639808,474688060.733614,698982389.296452,6624657301.98436,2388654327.96152,,,6541302753.69813,,1151119485.02706,77513030.758441,-64224905.9490691,-12243238.4846663,113317473.842453,7958502620.20445,2458370268.67108,3952660526.51834,2518236103.9086018,4008107692.96452,912833955.622369,3909186527.1196656,,,,113317473.842453,680482495.850872,,
