,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,herf,hire,invest,lev,lgr,mve_ia,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,quick,rd_mve,rd_sale,roic,salecash,saleinv,salerec,sgr,sp
0GSU.L^H16,0.0278095769928799,-0.0278095769928799,13.0,,0.0609617118644501,,0.0922086570477246,984.1600456509872,0.0089447207024587,4.161369592339216,0.106049003521212,,,0.0969426218065058,,0.7263104838709672,1.2010695187165763,1.0,,0.0010397999290722,,0.0043760325898183,0.1983247242775377,,2.2317925912122143e-08,,,0.1033229917040433,,0.2565572560322932,,,,,,,,,,-1.0440251572326995,0.4346438172043004,0.0030228568938053,0.0617330210772833,0.0656983467089672,53.91414141414148,6.149193548387096,4.784849843119692,,0.0489666120506398
0GT0.L^A08,0.014336106840145,0.014336106840145,9.0,,,,-0.0867338579236808,,,,0.440654121390565,,,0.7263442441870163,,0.9514011879099142,0.7116449086161912,0.0,,,,,0.5181064293921417,,1.5600146415023166e-10,,,,,,,,,,,,,,,0.1367203525534992,0.4720760584687579,,0.0328506410127126,-0.0753646761662396,14.851385306597884,3.410214281347427,5.1011316872428,,
0GT3.L^A08,0.0658751222237743,-0.0658751222237743,10.0,,,,0.1036332022731779,,,,0.5766093322776172,,,0.0261116543278856,,1.041078338144443,0.81197612395225,1.0,,,,,0.4428318666480424,,2.135324161747282e-10,,,,,,,,,,,,,,,-1.1349270014439272,1.0232627586192289,,0.0766098051423786,0.0743092798373191,12.352557050076308,124.1291012838801,3.27797904201016,,
0GT8.L^A08,0.0095727085529503,-0.0095727085529503,8.0,,,,0.1623359685234436,,,,0.4552352239835289,,,0.364723806696282,,1.7754826861970348,0.4722239265685783,1.0,,,,,0.563662423608404,,3.1869381935423526e-10,,,,,,,,,,,,,,,-0.1308885445095114,1.1182305542802804,,,0.1188500234282912,17.220678762352197,7.016137282402453,5.634398106023823,,
0GTC.L^A08,0.0178393764464898,-0.0178393764464898,12.0,,,,0.0592328375563199,,,,0.2852732003898978,,,0.0,,0.9529006630584224,0.5328063624460515,,,,,,0.1848998810505552,,1.7289883908650934e-10,,,,,,,,,,,,,,,-0.8715235230774978,0.9522502218896296,,,0.0612526833541147,11.709866127922218,3528.0769230769174,6.850946239073133,,
0GTE.L^A08,0.0811156039214638,-0.0811156039214638,10.0,,,,0.110441981443379,,,,0.3066525226011432,,,,,1.0241757330377792,0.4013637571213507,,,,,,,,5.98579938035936e-10,,,,,,,,,,,,,,,-1.8999434186672144,,,0.0039927834706236,0.0770546524847274,10.302757429856175,,5.149694390031973,,
0GTL.L^A08,0.0494356634017135,-0.0494356634017135,10.0,,,,-0.0320028101530104,,,,0.0327898035702914,,,,,0.2179127339647699,2.1674792084886847,1.0,,,,,0.0470191720307124,,6.736931473731649e-10,,,,,,,,,,,,,,,-2.472396937383356,,,,0.0399532131558009,10.398301236229065,,5.2056881908151365,,
0GTM.L^A08,0.0442373662507402,-0.0442373662507402,3.0,,,,-0.0414975993792334,,,,0.0406584777332564,,,,,0.131740055771815,0.0010480559201739,1.0,,,,,0.0632379998078655,,4.323713028639657e-11,,,,,,,,,,,,,,,-1.4004219181879076,,,,0.053305295460001,12.786377119220628,,17.630145210311046,,
0GTN.L^A08,0.1096328075382682,0.1096328075382682,9.0,,,,1.844976470050714,,,,0.3347784973523239,,,0.2484414086296056,,5.11362909489652,1.0823170731707314,1.0,,,,,0.6283359039829924,,4.128492259133762e-12,,,,,,,,,,,,,,,0.4683425154342358,4.237858089276744,,0.1586197396514912,0.265685332028633,2.4943735289569946,7.574603505843068,4.469722624141849,,
0GTP.L^A08,0.0898309507930519,-0.0898309507930519,9.0,,,,-1.825842178126444,,,,0.1418570567921774,,,0.4465740713892185,,4.4238117212736565,11.948453608247416,,,,,,-0.0144982167193445,,1.4810968279136984e-13,,,,,,,,,,,,,,,-0.2663800515907121,3.002399630826035,,0.4254545454545468,-0.7381713019187225,1.213752924041131,1.7855983377702749,3.0064502022520982,,
