firms,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
CSPC.L^K22,0.038017941050833004,0.17697335344394172,0.33542498573873347,0.3967780429594272,0.5711409395973155,0.5838971583220567,0.5796221322537112,0.5817567567567568,0.3951132300357567,0.46129837702871423,0.4309290953545233,0.4987195902688861,0.5565159574468084,0.6167127071823202,0.52012987012987,0.36660828955049607,0.4187878787878787,0.40263630916716586,0.3706088992974237,0.2619946091644205,0.28626373626373613,0.46679197994987476,0.5360892388451444,0.48540609137055846,0.32709750566893425,0.3852071005917159,0.2926559911651021,0.3244695898161245,0.3173888576252111,0.27574931880109,0.3694062591400995,0.4213721918639952,0.7353595255744996,0.9427385892116182,1.0094420600858367,1.0085800085800085,0.8818327974276525,1.0374238468233243,0.9589958158995815,0.8404088050314464,0.9788672865595942,1.0526085050416483,1.0995515695067266,0.7025454545454546,1.013763440860215,1.0224622030237582,0.9838983050847456,,
CSRT.L^C20,-0.01941747572815533,-0.014354066985645897,0.42265193370165743,0.35526315789473695,0.34114583333333326,0.4071038251366119,0.19489559164733183,0.1573033707865168,0.11471861471861478,0.1839080459770115,0.12322791712104686,0.08994708994709,0.10752688172043001,0.049949031600407645,-0.06533575317604357,-0.10434782608695647,-0.1271186440677966,-0.06533575317604357,-0.12265758091993184,-0.134453781512605,-0.132996632996633,-0.11206896551724133,-0.12859560067681897,-0.14166666666666672,-0.11965811965811968,-0.11283376399655465,-0.0803571428571429,-0.07953529937444148,-0.0678733031674208,-0.0533088235294118,-0.0019379844961240345,-0.012464046021092967,-0.009615384615384581,-0.0009699321047527132,-0.014354066985645897,0.03103103103103111,-0.028301886792452824,0.0,-0.10434782608695647,-0.06533575317604357,0.004878048780487809,0.0009718172983479434,-0.040074557315936676,0.06514994829369192,0.04251012145748989,-0.03738317757009346,0.0,0.013779527559055094,-0.05936073059360736
CSSG.L,-0.010582010582010581,0.08000000000000007,0.032786885245901676,0.02717391304347827,0.11176470588235299,-0.0357142857142857,-0.05970149253731338,-0.0643564356435643,-0.125,-0.07352941176470584,-0.020725388601036232,0.0862068965517242,0.02717391304347827,-0.05025125628140703,-0.05025125628140703,-0.08252427184466016,-0.03076923076923077,-0.07804878048780484,-0.09569377990430628,-0.12903225806451613,-0.18534482758620685,-0.125,-0.06896551724137934,0.11834319526627213,0.11176470588235299,0.512,1.076923076923077,1.076923076923077,1.1724137931034484,0.8,0.6875,0.5,0.575,0.6363636363636365,1.111731843575419,1.2771084337349397,2.5,2.2586206896551726,2.2586206896551726,2.2033898305084745,2.0,1.7000000000000002,1.7000000000000002,1.147727272727273,1.1724137931034484,1.147727272727273,1.0106382978723403,0.9636363636363636,0.8349514563106797
CTEA.L,-0.2954545454545455,-0.18518518518518512,-0.2666666666666666,-0.4054054054054054,-0.7411764705882353,-0.8,-0.8,-0.8166666666666667,-0.824,-0.8482758620689654,-0.89,-0.8842105263157894,-0.8777777777777778,-0.8952380952380953,-0.9,-0.8705882352941177,-0.89,-0.8871794871794871,-0.9022222222222223,-0.9102040816326531,-0.9153846153846154,-0.9214285714285715,-0.9043478260869565,-0.965625,-0.9728395061728395,-0.9744186046511628,-0.9531914893617022,-0.9551020408163265,-0.9551020408163265,-0.9531914893617022,-0.9214285714285715,-0.9405405405405405,-0.9421052631578948,-0.9531914893617022,-0.9531914893617022,-0.9676470588235294,-0.9650793650793651,-0.9755555555555555,-0.9906382978723405,-0.989,-0.98,-0.9837037037037037,-0.9816666666666667,-0.9842857142857143,-0.9830769230769231,-0.9830769230769231,-0.9741176470588235,-0.9633333333333334,-0.9725
CTEC.L,0.055189873417721635,0.02358123866286599,-0.018877297565822238,0.11017425519955037,0.11676562058241458,0.07336956521739135,0.34628493524199055,0.42086330935251803,0.4229106628242074,0.38547877937565755,0.431159420289855,0.3874253600280999,0.45273997793306364,0.2862259850211657,0.2289981331673927,-0.163135593220339,-0.08395176252319103,-0.10349523377212899,-0.036115178135675996,-0.1322495606326889,-0.09362092703074809,-0.012499999999999956,-0.04033041788143832,0.010747185261003045,-0.03043691703485507,-0.010025062656641603,0.029718456725756015,-0.2946428571428571,-0.29363376251788276,-0.36678422571336966,-0.3818466353677621,-0.402962515114873,-0.35688700748941715,-0.289568345323741,-0.18857847165160235,-0.19813235891189607,-0.15562206070970497,-0.1830403309203723,-0.2068273092369478,,,,,,,,,,
CTH.L^I22,0.07551487414187652,0.1622340425531914,0.08706467661691542,0.20885200553250338,0.19726027397260282,0.13802083333333326,0.16844919786096257,0.174731182795699,0.30447761194029854,0.3083832335329342,0.2414772727272727,0.2666666666666666,0.3083832335329342,0.23098591549295766,0.10075566750629728,0.1439790575916231,0.10632911392405053,0.09937106918238992,0.15915119363395225,0.14099216710182771,0.05174488567990365,0.1350649350649351,0.12051282051282053,0.08168316831683176,0.016279069767441756,0.028235294117647136,0.023419203747072626,0.08436724565756815,0.023718887262079047,0.02102803738317749,0.02102803738317749,0.09113607990012484,0.08571428571428563,0.20885200553250338,0.1350649350649351,0.14698162729658804,0.38291139240506333,0.5833333333333333,0.6007326007326008,0.649056603773585,0.6125461254612545,0.8132780082987552,0.8400000000000001,0.8208333333333333,0.7306930693069307,0.7692307692307692,0.8132780082987552,0.9729119638826185,0.8635394456289978
CTID.L,-0.08333333333333326,0.0,-0.07692307692307698,-0.040000000000000036,0.09090909090909083,0.06666666666666665,-0.020408163265306256,-0.09433962264150941,-0.1578947368421053,-0.09433962264150941,-0.11111111111111116,-0.040000000000000036,0.06666666666666665,0.04347826086956519,-0.07692307692307698,-0.1578947368421053,-0.07692307692307698,-0.07692307692307698,-0.1578947368421053,-0.20000000000000007,-0.18644067796610175,-0.1428571428571428,-0.18644067796610175,-0.2500000000000001,-0.2727272727272727,-0.2440944881889764,-0.2727272727272727,-0.1351351351351351,-0.2195121951219513,-0.2558139534883721,-0.2727272727272727,-0.346938775510204,-0.27819548872180455,-0.2500000000000001,-0.20661157024793386,-0.23199999999999998,-0.23809523809523814,-0.08571428571428574,-0.1428571428571428,-0.1724137931034483,-0.1578947368421053,-0.20661157024793386,-0.15044247787610632,-0.19327731092436984,-0.20000000000000007,-0.30434782608695654,-0.33793103448275863,-0.1351351351351351,-0.2941176470588235
CTO.L,-0.022222222222222254,0.134453781512605,0.34328358208955234,0.36363636363636354,0.23853211009174302,0.2272727272727273,0.11570247933884303,0.015037593984962516,0.042471042471042386,0.0714285714285714,0.2857142857142858,0.3726487036095578,0.5410958904109591,0.523702031602709,0.6687268232385659,0.6544117647058825,0.5938606847697756,0.646341463414634,0.6423357664233575,0.5428571428571429,0.7131979695431472,0.6324062877871826,0.7374517374517373,0.6770186335403727,0.5606936416184971,0.821247892074199,0.7419354838709677,0.6822429906542056,0.6023738872403561,0.4855570839064649,0.6095380029806259,0.5211267605633803,0.7419354838709677,0.669242658423493,0.5168539325842696,0.9115044247787611,1.278481012658228,1.3027718550106608,1.2546972860125263,1.0224719101123596,0.9424460431654675,0.9744058500914077,0.9926199261992621,0.646341463414634,0.6071428571428572,0.5168539325842696,0.6143497757847534,0.5340909090909092,0.6071428571428572
CTPC.L^F20,-0.020547945205479423,-0.020134228187919434,0.15873015873015883,-0.2192513368983957,-0.26262626262626265,-0.28078817733990147,-0.29807692307692313,-0.32093023255813957,-0.3113207547169812,-0.24742268041237114,-0.18888888888888888,-0.2192513368983957,-0.22133333333333338,-0.25888324873096447,-0.1933701657458563,-0.2878048780487805,-0.28431372549019607,-0.28078817733990147,-0.1560693641618497,-0.1178247734138973,-0.17045454545454541,-0.026666666666666616,0.06181818181818177,0.08148148148148149,0.09774436090225569,0.14960629921259838,0.14960629921259838,0.1541501976284585,0.09774436090225569,0.06181818181818177,0.06181818181818177,0.06181818181818177,0.05797101449275366,0.13178294573643412,0.28634361233480177,0.2920353982300885,0.21666666666666656,0.21666666666666656,0.11450381679389321,0.10606060606060597,0.12307692307692308,-0.0331125827814569,-0.013513513513513487,0.017421602787456525,-0.04575163398692805,-0.12574850299401197,-0.07594936708860756,-0.12574850299401197,-0.058064516129032295
CTPT.L,0.011820330969267046,-0.002358490566037763,-0.007042253521126862,0.02669902912621347,0.0,0.03422982885085579,0.03170731707317076,-0.09421841541755904,-0.10665258711721237,-0.05156950672645755,-0.0558035714285714,-0.08639308855291572,-0.09421841541755904,-0.016279069767441978,-0.10000000000000009,-0.11875000000000002,-0.12603305785123975,-0.1224066390041495,-0.15820895522388068,-0.16650246305418726,-0.20188679245283025,-0.1705882352941177,-0.17864077669902922,-0.1942857142857144,-0.17864077669902922,-0.18260869565217397,-0.20749414519906328,-0.20934579439252343,-0.21118881118881128,-0.19810426540284365,-0.20563380281690147,-0.18653846153846154,-0.18260869565217397,-0.17463414634146346,-0.17864077669902922,-0.15400000000000003,-0.1454545454545455,-0.12558139534883728,-0.10947368421052639,-0.11644908616187999,-0.09276139410187678,-0.024783861671469842,-0.04943820224719109,-0.1476070528967255,-0.13893129770992374,-0.1432911392405064,-0.10712401055408982,-0.1476070528967255,-0.16855036855036865
CTUK.L,-0.01833568406205921,0.06777108433734935,0.08079268292682928,0.08079268292682928,0.139871382636656,0.07261724659606661,0.05979073243647237,0.11128526645768022,0.08909370199692779,0.1147798742138364,0.15284552845528454,0.16803953871499178,0.21821305841924388,0.1584967320261439,0.1622950819672131,0.07750759878419444,0.0645645645645645,0.0503703703703704,0.06777108433734935,0.05192878338278928,0.08079268292682928,0.10781250000000009,0.12718600953895076,0.08079268292682928,0.06616541353383454,0.08659003831417622,0.09160892994611247,0.08742331288343563,0.0962504831851565,0.11215686274509795,0.10436137071651097,0.10781250000000009,0.15425315425315422,0.1547231270358307,0.18561872909698995,0.2438596491228071,0.23519163763066198,0.27978339350180503,0.2615658362989324,0.19662447257383975,0.2706093189964158,0.29026387625113736,0.3504761904761904,0.3582375478927202,0.3466286799620133,0.37937743190661477,0.4528688524590163,0.4236947791164658,0.374031007751938
CTY.L,-0.05462653288740249,0.059031877213695294,0.078125,0.06785714285714284,0.08595641646489094,0.06405693950177938,0.046674445740956916,0.09926470588235303,0.06785714285714284,0.080722891566265,0.11152416356877315,0.1368821292775666,0.1694915254237288,0.11290322580645151,0.11845386533665825,0.055294117647058716,0.052816901408450745,0.045454545454545414,0.050351288056206034,0.03222094361334871,0.05653710247349819,0.11014851485148514,0.10061349693251542,0.06028368794326244,0.023972602739726012,0.06557377049180335,0.04594216417910446,0.045698297971555224,0.046674445740956916,0.04887745556594947,0.050351288056206034,0.01931818181818179,0.06785714285714284,0.0835950712732545,0.07040572792362765,0.1400610066090493,0.10467980295566504,0.15921426725252008,0.1363060552318216,0.08832807570977907,0.10877626699629173,0.13803603146409538,0.171018276762402,0.183377308707124,0.18965517241379315,0.2220708446866484,0.23315919714050048,0.204026845637584,0.18870924993373972
CURY.L,-0.05379746835443022,0.1631901840490797,0.11748526522593306,0.18499999999999983,0.32525629077353213,0.20304568527918776,0.2839729119638825,0.2484635645302895,0.004592016955139444,-0.01761658031088087,0.04213997801392444,0.019720329867336073,0.18499999999999983,-0.12438423645320207,-0.1853337152678317,-0.15155131264916477,-0.1487578569290633,-0.17517401392111376,-0.23957219251336903,-0.2515789473684211,-0.2977777777777778,-0.2484143763213531,-0.2662538699690403,-0.2763358778625955,-0.2995073891625616,-0.12599877074370003,-0.1585798816568048,-0.2639751552795031,-0.16549295774647899,-0.46880836757564437,-0.5012276394247633,-0.5651376146788991,-0.5761549925484353,-0.5386112913692408,-0.5412903225806451,-0.5449600000000001,-0.5989847715736041,-0.5871080139372822,-0.5611111111111111,-0.6166082502022108,-0.6230116648992576,-0.5880648899188876,-0.5594795539033457,-0.6677570093457944,-0.6655691439322672,-0.6652542372881356,-0.6784260515603799,-0.7015739769150053,-0.7113862390907246
CVSG.L,-0.009598603839441555,0.10404624277456653,0.20631578947368423,0.1137026239067056,0.3097142857142856,0.23225806451612896,0.5403225806451613,0.8306709265175718,0.763076923076923,0.8161648177496037,1.2965931863727453,1.6466512702078524,0.7416413373860182,0.819047619047619,0.3104631217838765,0.21850079744816586,0.2395889670091942,0.02048085485307216,0.009691629955947079,0.23358449946178683,0.15640766902119063,0.2355795148247979,0.07605633802816891,-0.05988515176374076,0.12242899118511263,0.15757575757575748,-0.19860139860139858,-0.21506849315068488,-0.17731514716439345,-0.12652439024390238,-0.07655116841257048,-0.19916142557651995,-0.12851711026615975,-0.013769363166953541,0.08011310084825629,0.09560229445506696,0.03898458748866718,0.0998080614203456,0.30896630496858934,0.2691029900332227,0.2635060639470783,0.4262601120099565,0.531062124248497,0.4253731343283582,0.5465587044534412,0.4921875,0.49413298565840935,0.38909090909090915,0.3958587088915957
CWK.L,0.032369942196531776,0.11974110032362462,0.1118251928020566,0.1517976031957391,0.2536231884057971,0.30369253956292397,0.3297463489623367,0.293941660433807,0.20389700765483654,0.26739926739926734,0.37410643367752194,0.18737131091283454,0.32262996941896027,0.24192390524048824,0.18982118294360384,0.009334889148191472,0.056811240073304736,0.045949214026602236,0.029761904761904656,0.023668639053254337,0.19228118538938666,0.22002820874471096,0.14493712772998024,0.11684958037443516,0.05295191722458914,0.09459031951913954,0.11937884179877067,0.1571906354515049,0.15333333333333332,0.18371536093055085,0.23836793128131717,0.16891891891891886,0.290082028337062,0.34892787524366464,0.4830690098585513,0.5023881893182804,0.4767392232180965,0.5501792114695341,0.624413145539906,0.4605318699873364,0.45684210526315794,0.4786324786324787,0.5727272727272728,0.4830690098585513,0.5432649420160571,0.6221284575714956,0.7572371762315897,0.6499761564139246,0.8086774699424988
CWR.L,0.516728624535316,0.21171171171171177,0.2995169082125604,0.29326923076923084,0.5197740112994351,0.3901808785529717,0.5685131195335278,0.4699453551912569,0.4800550206327372,0.787375415282392,0.787375415282392,0.735483870967742,0.6259671179883946,0.5730994152046784,0.6918238993710693,0.42713141280704536,0.4699453551912569,0.6891679748822606,0.7495934959349593,0.881118881118881,1.030188679245283,1.514018691588785,0.8487972508591066,0.8175675675675675,0.9214285714285715,1.1520000000000001,0.9925925925925927,0.8713043478260869,1.1737373737373735,1.195918367346939,1.391111111111111,1.9081081081081082,2.1834319526627217,2.090178058587019,2.0568181818181817,2.118840579710145,2.8319088319088324,2.084862385321101,1.7171717171717171,1.6372549019607843,1.7309644670050761,1.9239130434782608,1.9081081081081082,2.0568181818181817,2.4158730158730157,2.7257617728531853,3.8909090909090907,2.9558823529411766,3.0149253731343286
CYAN.L,-0.016129032258064613,0.55,0.24,-0.31868131868131866,-0.24390243902439013,-0.3737373737373737,-0.4608695652173913,-0.38613861386138615,-0.5303030303030303,-0.5,-0.5947712418300654,-0.6374269005847953,-0.6684491978609626,-0.69,-0.6884422110552764,-0.7925545388170208,-0.6660904608765948,-0.6696238951530329,-0.6797893137637089,-0.7095763543438289,-0.7285170268866228,-0.7174611592032726,-0.7398288174330134,-0.7809084778383271,-0.8462042270539981,-0.8627668487558753,-0.8843683633035615,-0.8941676545490225,-0.9156201570053016,-0.8904542389191635,-0.8976375675146282,-0.9053922972483686,-0.9156201570053016,-0.9144642687451003,-0.9178406791893727,-0.9209606533973712,-0.921948645229904,-0.921948645229904,-0.9238523368096625,-0.9156201570053016,-0.9229122422023743,-0.9156201570053016,-0.9156201570053016,-0.93357331508928,-0.9442490323070744,-0.8904542389191635,-0.9024358065373801,-0.8923429589377987,-0.9107984516913189
CYNL.L,-0.046380090497737614,0.03755868544600949,0.025522041763341052,-0.012290502793296021,0.03877790834312589,-0.02857142857142847,-0.030701754385964897,0.04615384615384621,-0.02212389380530977,-0.02857142857142847,-0.04017372421281207,-0.01449275362318836,0.02314814814814814,-0.08203530633437162,-0.12127236580516887,-0.1718969555035128,-0.16799999999999993,-0.20894854586129752,-0.22456140350877185,-0.27983706720977597,-0.24120171673819735,-0.1945330296127562,-0.261795407098121,-0.2724279835390946,-0.2648648648648648,-0.22371020856201973,-0.24038668098818472,-0.20983240223463684,-0.23628509719222457,-0.2313043478260869,-0.19084668192219678,-0.22285714285714275,-0.24120171673819735,-0.2524312896405919,-0.34029850746268653,-0.3657399103139013,-0.29279999999999995,-0.2761514841351074,-0.2820304568527918,-0.23793103448275854,-0.24845908607863965,-0.21942604856512138,-0.1002544529262086,-0.01777777777777767,-0.06947368421052624,0.016091954022988464,0.03090379008746358,0.15555555555555567,0.13152000000000008
CZN.L,0.0,0.0625,-0.19047619047619058,-0.02857142857142858,-0.29166666666666663,-0.34615384615384615,-0.37037037037037046,-0.48484848484848486,-0.575,-0.5641025641025641,-0.3928571428571428,-0.5142857142857142,-0.5405405405405406,-0.7068965517241379,-0.7166666666666667,-0.8068181818181819,-0.8488888888888889,-0.8763636363636363,-0.8827586206896552,-0.9055555555555556,-0.9081081081081082,-0.9042253521126761,-0.9154228855721394,-0.9209302325581395,-0.9093333333333333,-0.8985074626865672,-0.8985074626865672,,,,,,,,,,,,,,,,,,,,,,
