Date,CLOSE,HIGH,LOW,OPEN,COUNT,VOLUME
2016-05-03,186.0,186.0,186.0,186.0,6.0,7176.0
2016-05-04,186.0,186.0,186.0,186.0,10.0,19184.0
2016-05-05,186.0,186.0,186.0,186.0,4.0,8160.0
2016-05-06,186.0,186.0,186.0,186.0,2.0,394.0
2016-05-09,186.0,186.0,186.0,186.0,6.0,24336.0
2016-05-10,223.0,223.0,223.0,223.0,0.0,0.0
2016-05-11,223.0,223.0,223.0,223.0,1.0,2000.0
2016-05-12,223.0,223.0,223.0,223.0,2.0,6000.0
2016-05-13,223.0,223.0,223.0,223.0,4.0,7220.0
2016-05-16,223.0,223.0,223.0,223.0,2.0,1769.0
2016-05-17,223.0,223.0,223.0,223.0,1.0,446.0
2016-05-18,223.0,223.0,223.0,223.0,2.0,3000.0
2016-05-19,223.0,223.0,223.0,223.0,1.0,2000.0
2016-05-20,223.0,223.0,223.0,223.0,8.0,2220352.0
2016-05-23,223.0,223.0,223.0,223.0,6.0,18238.0
2016-05-24,223.0,223.0,223.0,223.0,3.0,568.0
2016-05-25,223.0,223.0,223.0,223.0,3.0,2048.0
2016-05-26,223.0,223.0,223.0,223.0,4.0,19000.0
2016-05-27,223.0,223.0,223.0,223.0,8.0,88040.0
2016-05-31,223.0,223.0,223.0,223.0,1.0,525.0
2016-06-01,223.0,223.0,223.0,223.0,1.0,4520.0
2016-06-02,223.0,223.0,223.0,223.0,9.0,26499.0
2016-06-03,223.0,223.0,223.0,223.0,11.0,2927572.0
2016-06-06,223.0,223.0,223.0,223.0,3.0,13724.0
2016-06-07,223.0,223.0,223.0,223.0,3.0,5112.0
2016-06-08,223.0,223.0,223.0,223.0,5.0,827921.0
2016-06-09,223.0,223.0,223.0,223.0,2.0,40000.0
2016-06-10,223.0,223.0,223.0,223.0,3.0,10000.0
2016-06-13,223.0,223.0,223.0,223.0,9.0,20415.0
2016-06-14,223.0,223.0,223.0,223.0,4.0,5693.0
2016-06-15,223.0,223.0,223.0,223.0,5.0,11283.0
2016-06-16,223.0,223.0,223.0,223.0,14.0,42540.0
2016-06-17,223.0,223.0,223.0,223.0,2.0,3039.0
2016-06-20,223.0,223.0,223.0,223.0,3.0,4800.0
2016-06-21,223.0,223.0,223.0,223.0,3.0,18451.0
2016-06-22,223.0,223.0,223.0,223.0,1.0,5000.0
2016-06-23,223.0,223.0,223.0,223.0,5.0,10000.0
2016-06-24,198.5,198.5,198.5,198.5,0.0,0.0
2016-06-27,198.5,198.5,198.5,198.5,4.0,7348.0
2016-06-28,198.5,198.5,198.5,198.5,6.0,12585.0
2016-06-29,198.5,198.5,198.5,198.5,5.0,5800.0
2016-06-30,189.0,189.0,189.0,189.0,0.0,0.0
2016-07-01,189.0,189.0,189.0,189.0,5.0,53718.0
2016-07-04,189.0,189.0,189.0,189.0,3.0,3688.0
2016-07-05,189.0,189.0,189.0,189.0,6.0,16173.0
2016-07-06,189.0,189.0,189.0,189.0,9.0,22500.0
2016-07-07,189.0,189.0,189.0,189.0,9.0,28244.0
2016-07-08,189.0,189.0,189.0,189.0,2.0,2621.0
2016-07-11,189.0,189.0,189.0,189.0,4.0,6521.0
2016-07-12,189.0,189.0,189.0,189.0,3.0,9747.0
2016-07-13,200.0,200.0,200.0,200.0,0.0,0.0
2016-07-14,200.0,200.0,200.0,200.0,3.0,9450.0
2016-07-15,200.0,200.0,200.0,200.0,3.0,3297.0
2016-07-18,200.0,200.0,200.0,200.0,2.0,44451.0
2016-07-19,202.0,202.0,202.0,202.0,0.0,0.0
2016-07-20,202.0,202.0,202.0,202.0,2.0,2500.0
2016-07-21,202.0,202.0,202.0,202.0,10.0,20193.0
2016-07-22,202.0,202.0,202.0,202.0,18.0,34541.0
2016-07-25,202.0,202.0,202.0,202.0,1.0,210.0
2016-07-26,202.0,202.0,202.0,202.0,4.0,3161.0
2016-07-27,202.0,202.0,202.0,202.0,12.0,37884.0
2016-07-28,202.0,202.0,202.0,202.0,5.0,7500.0
2016-07-29,202.0,202.0,202.0,202.0,2.0,1893.0
2016-08-01,202.0,202.0,202.0,202.0,4.0,3813.0
2016-08-02,235.0,235.0,235.0,235.0,0.0,0.0
2016-08-03,235.0,235.0,235.0,235.0,3.0,5017.0
2016-08-04,235.0,235.0,235.0,235.0,1.0,800.0
2016-08-05,235.0,235.0,235.0,235.0,5.0,12564.0
2016-08-08,235.0,235.0,235.0,235.0,1.0,40.0
2016-08-09,235.0,235.0,235.0,235.0,2.0,1900.0
2016-08-10,235.0,235.0,235.0,235.0,6.0,13111.0
2016-08-11,235.0,235.0,235.0,235.0,0.0,0.0
2016-08-12,235.0,235.0,235.0,235.0,0.0,0.0
2016-08-15,235.0,235.0,235.0,235.0,3.0,8949.0
2016-08-16,235.0,235.0,235.0,235.0,4.0,8859.0
2016-08-17,233.0,233.0,233.0,233.0,0.0,0.0
2016-08-18,233.0,233.0,233.0,233.0,2.0,13625.0
2016-08-19,233.0,233.0,233.0,233.0,0.0,0.0
2016-08-22,233.0,233.0,233.0,233.0,1.0,328.0
2016-08-23,233.0,233.0,233.0,233.0,3.0,100000.0
2016-08-24,233.0,233.0,233.0,233.0,8.0,14686.0
2016-08-25,233.0,233.0,233.0,233.0,4.0,6605.0
2016-08-26,235.0,235.0,235.0,235.0,0.0,0.0
2016-08-30,235.0,235.0,235.0,235.0,5.0,17368.0
2016-08-31,235.0,235.0,235.0,235.0,4.0,5228.0
2016-09-01,235.0,235.0,235.0,235.0,2.0,4616.0
2016-09-02,235.0,235.0,235.0,235.0,2.0,2105.0
2016-09-05,235.0,235.0,235.0,235.0,2.0,15080.0
2016-09-06,235.0,235.0,235.0,235.0,15.0,34083.0
2016-09-07,235.0,235.0,235.0,235.0,9.0,136486.0
2016-09-08,235.0,235.0,235.0,235.0,3.0,36000.0
2016-09-09,235.0,235.0,235.0,235.0,2.0,1327.0
2016-09-12,235.0,235.0,235.0,235.0,1.0,1500.0
2016-09-13,235.0,235.0,235.0,235.0,2.0,878.0
2016-09-14,235.0,235.0,235.0,235.0,63.0,1311753.0
2016-09-15,235.0,235.0,235.0,235.0,17.0,491820.0
2016-09-16,240.0,240.0,240.0,240.0,0.0,0.0
2016-09-19,240.0,240.0,240.0,240.0,12.0,1541579.0
2016-09-20,242.5,242.5,242.5,242.5,0.0,0.0
2016-09-21,242.5,242.5,242.5,242.5,1.0,500.0
2016-09-22,242.5,242.5,242.5,242.5,28.0,602114.0
2016-09-23,242.5,242.5,242.5,242.5,16.0,33661.0
2016-09-26,242.5,242.5,242.5,242.5,11.0,10475.0
2016-09-27,242.5,242.5,242.5,242.5,3.0,2679.0
2016-09-28,242.5,242.5,242.5,242.5,3.0,748.0
2016-09-29,242.5,242.5,242.5,242.5,10.0,53573.0
2016-09-30,242.5,242.5,242.5,242.5,10.0,9640.0
2016-10-03,242.5,242.5,242.5,242.5,6.0,634904.0
2016-10-04,242.5,242.5,242.5,242.5,28.0,41739.0
2016-10-05,242.5,242.5,242.5,242.5,12.0,32437.0
2016-10-06,242.5,242.5,242.5,242.5,2.0,198.0
2016-10-07,242.5,242.5,242.5,242.5,4.0,1812.0
2016-10-10,242.5,242.5,242.5,242.5,13.0,13990.0
2016-10-11,242.5,242.5,242.5,242.5,7.0,12608.0
2016-10-12,242.5,242.5,242.5,242.5,4.0,1337.0
2016-10-13,242.5,242.5,242.5,242.5,11.0,110093.0
2016-10-14,242.5,242.5,242.5,242.5,10.0,33000.0
2016-10-17,242.5,242.5,242.5,242.5,7.0,8333.0
2016-10-18,242.5,242.5,242.5,242.5,5.0,39239.0
2016-10-19,242.5,242.5,242.5,242.5,5.0,50752.0
2016-10-20,242.5,242.5,242.5,242.5,15.0,28395.0
2016-10-21,242.5,242.5,242.5,242.5,6.0,4640.0
2016-10-24,242.5,242.5,242.5,242.5,4.0,2096.0
2016-10-25,242.5,242.5,242.5,242.5,4.0,4350.0
2016-10-26,242.5,242.5,242.5,242.5,2.0,2096.0
2016-10-27,242.5,242.5,242.5,242.5,2.0,1578.0
2016-10-28,242.5,242.5,242.5,242.5,4.0,5317.0
2016-10-31,242.5,242.5,242.5,242.5,6.0,8962.0
2016-11-01,242.5,242.5,242.5,242.5,3.0,1282.0
2016-11-02,242.5,242.5,242.5,242.5,1.0,85.0
2016-11-03,242.5,242.5,242.5,242.5,1.0,2000.0
2016-11-04,242.5,242.5,242.5,242.5,1.0,500.0
2016-11-07,242.5,242.5,242.5,242.5,3.0,949.0
2016-11-08,242.5,242.5,242.5,242.5,1.0,883.0
2016-11-09,242.5,242.5,242.5,242.5,3.0,9868.0
2016-11-10,242.5,242.5,242.5,242.5,7.0,14306.0
2016-11-11,242.5,242.5,242.5,242.5,8.0,14440.0
2016-11-14,242.5,242.5,242.5,242.5,6.0,20645.0
2016-11-15,242.5,242.5,242.5,242.5,1.0,5350.0
2016-11-16,242.5,242.5,242.5,242.5,2.0,5710.0
