index,RIC
158,CAML.L
159,CAML.L^A03
160,CAS.L^C19
161,CAS.L^F05
162,CBI.L^G10
163,CBI.L^J95
164,CBOX.L
165,CBOX.L^E11
166,CBP.L
167,CBP.L^F01
168,CBX.L
169,CBX.L^D12
170,CCC.L
171,CCC.L^H97
172,CCG.L^B07
173,CCG.L^G94
174,CCH.L
175,CCH.L^C98
176,CCH.L^H04
177,CCH.L^J07
178,CCL.L
179,CCL.L^A96
180,CCP.L
181,CCP.L^K93
182,CCT.L
183,CCT.L^J94
184,CCT.L^L96
185,CDN.L^H11
186,CDN.L^J99
187,CDWn.L^G05
188,CDWn.L^J99
189,CEG.L
190,CEG.L^H00
191,CEO.L^A14
192,CEO.L^I99
193,CER.L
194,CER.L^A08
195,CGA.L^D12
196,CGA.L^B01
197,CGL.L
198,CGL.L^E15
199,CGO.L
200,CGO.L^H99
201,CHA.L^F04
202,CHA.L^J18
203,CHCH.L
204,CHCH.L^A00
205,CHD.L^F98
206,CHD.L^F07
207,CHI.L
208,CHI.L^A99
209,CHI.L^H98
210,CHIe.L^G06
211,CHIe.L^L06
212,CHLL.L
213,CHLL.L^A03
214,CHLL.L^F17
215,CHT.L^C10
216,CHT.L^A17
217,CHUr.L^F03
218,CHUr.L^F01
219,CIG.L^D98
220,CIG.L^C11
221,CIG.L^I95
222,CLA.L^C04
223,CLA.L^J06
224,CLL.L^C99
225,CLL.L^H20
226,CLXq.L^A00
227,CLXq.L^G07
228,CLY.L^B03
229,CLY.L^J09
230,CMP.L^H03
231,CMP.L^K09
232,CMS.L^G97
233,CMS.L^L18
234,CNEL.L^I93
235,CNEL.L^G20
236,CNF.L^E03
237,CNF.L^J96
238,COAL.L^A03
239,COAL.L^H08
240,COL.L^H00
241,COL.L^L95
242,COR.L^E06
243,COR.L^L97
244,COT.L^H09
245,COT.L^L03
246,CPC.L
247,CPC.L^C99
248,CPG.L
249,CPG.L^A01
250,CPG.L^G00
251,CRC.L^C09
252,CRC.L^F23
253,CRCL.L
254,CRCL.L^G14
255,CREO.L
256,CREO.L^C07
257,CREO.L^F10
258,CRV.L
259,CRV.L^K98
260,CRW.L
261,CRW.L^C97
262,CSD.L^C98
263,CSD.L^F09
264,CSE.L^B99
265,CSE.L^F05
266,CTA.L
267,CTA.L^K97
268,CTL.L
269,CTL.L^H02
270,CTR.L^A20
271,CTR.L^J96
272,CTS.L^F99
273,CTS.L^H02
274,CTY.L
275,CTY.L^F00
276,CWP.L^D98
277,CWP.L^G93
278,CWP.L^G12
279,DABc.L^B08
280,DABc.L^B06
281,DABc.L^H04
282,DAN.L^A16
283,DAN.L^L02
284,DATA.L
285,DATA.L^J10
286,DFX.L^A20
287,DFX.L^K03
288,DGP.L^E03
289,DGP.L^G07
290,DMR.L^E95
291,DMR.L^G09
292,DNM.L
293,DNM.L^L99
294,DOM.L
295,DOM.L^G94
296,DON.L^B04
297,DON.L^H09
298,DSCr.L^H10
299,DSCr.L^J09
300,DTLc.L^D08
301,DTLc.L^K07
302,DTM.L^F99
303,DTM.L^H07
304,DTR.L^B92
305,DTR.L^K01
306,DTY.L^E23
307,DTY.L^J95
308,EBF.L^B07
309,EBF.L^H02
310,ECT.L^D03
311,ECT.L^L05
312,ECT.L^L96
313,EDG.L^D16
314,EDG.L^G05
315,EEG.L^A07
316,EEG.L^F95
317,EEL.L^C09
318,EEL.L^A96
319,EGI.L^G17
320,EGI.L^K01
321,EGL.L
322,EGL.L^K99
323,EGS.L^I02
324,EGS.L^K17
325,ELP.L^C09
326,ELP.L^I99
327,ELX.L^C09
328,ELX.L^G19
329,ENVx.L^A15
330,ENVx.L^G07
331,EPM.L^C06
332,EPM.L^L98
333,EPO.L^F19
334,EPO.L^G94
335,ESC.L^F99
336,ESC.L^H05
337,ESP.L
338,ESP.L^I02
339,ESVq.L^D99
340,ESVq.L^J06
341,EVG.L
342,EVG.L^L11
343,EXF.L^G99
344,EXF.L^L06
345,FAB.L
346,FAB.L^D09
347,FAB.L^D06
348,FAI.L^B95
349,FAI.L^B02
350,FIH.L
351,FIH.L^F99
352,FIP.L^C14
353,FIP.L^L97
354,FLG.L^D15
355,FLG.L^F07
356,FLG.L^F00
357,FLXT.L^D01
358,FLXT.L^E00
359,FND.L^A96
360,FND.L^A11
361,FPP.L
362,FPP.L^A03
363,FRE.L^D94
364,FRE.L^C01
365,FRG.L
366,FRG.L^K94
367,FRP.L
368,FRP.L^G01
369,FRR.L^A19
370,FRR.L^K00
371,FSF.L
372,FSF.L^E12
373,FSH.L^B09
374,FSH.L^G02
375,FTF.L
376,FTF.L^G03
377,FWD.L
378,FWD.L^E97
379,GABIGc.L^D18
380,GABIGc.L^H17
381,GASL.L^I93
382,GASL.L^G14
383,GB0073723.L^D02
384,GB0073723.L^F97
385,GB0155784.L^D02
386,GB0155784.L^J02
387,GB0162869.L^F03
388,GB0162869.L^H96
389,GB0188025.L^D02
390,GB0188025.L^J02
391,GB0260428.L^H02
392,GB0260428.L^J99
393,GB0288271.L^C02
394,GB0288271.L^G02
395,GB0308102.L^F97
396,GB0308102.L^I08
397,GB0351311.L^C02
398,GB0351311.L^G02
399,GB0366854.L^F97
400,GB0366854.L^H00
401,GB0376756.L^D02
402,GB0376756.L^C08
403,GB0410568.L^C02
404,GB0410568.L^G02
405,GB0432647.L^G05
406,GB0432647.L^L98
407,GB0443508.L^C02
408,GB0443508.L^G02
409,GB0457974.L^F97
410,GB0457974.L^G01
411,GB0461737.L^D02
412,GB0461737.L^I08
413,GB0464899.L^C02
414,GB0464899.L^G02
415,GB0497583.L^C02
416,GB0497583.L^G02
417,GB0767628.L^D02
418,GB0767628.L^J02
419,GB0817642.L^D02
420,GB0817642.L^L96
421,GB0849708.L^C02
422,GB0849708.L^G02
423,GB0875532.L^D02
424,GB0875532.L^J02
425,GB0884680.L^D02
426,GB0884680.L^J02
427,GB0930583.L^C02
428,GB0930583.L^I02
429,GB2300883.L^H96
430,GB2300883.L^G02
431,GB5001462.L^C02
432,GB5001462.L^F03
433,GCC.L
434,GCC.L^A97
435,GCPIc.L^D13
436,GCPIc.L^E12
437,GCPIc.L^H14
438,GEM.L^C01
439,GEM.L^G17
440,GENG.L
441,GENG.L^E09
442,GLF.L^E08
443,GLF.L^I01
444,GLL.L^E97
445,GLL.L^G02
446,GLO.L^H07
447,GLO.L^L22
448,GLR.L
449,GLR.L^L99
450,GME.L^B01
451,GME.L^F99
452,GME.L^E08
453,GMET.L
454,GMET.L^L97
455,GO.L^G12
456,GO.L^G07
457,GOAL.L^C96
458,GOAL.L^I19
459,GOT.L
460,GOT.L^I02
461,GPGe.L^B07
462,GPGe.L^H04
463,GRD.L^C97
464,GRD.L^G02
465,GRN.L^F00
466,GRN.L^E07
467,GSC.L
468,GSC.L^J99
469,GSF.L
470,GSF.L^J06
471,GST.L
472,GST.L^L03
473,GUS.L
474,GUS.L^J06
475,GWI.L
476,GWI.L^C09
477,GYG.L^B08
478,GYG.L^I22
479,HAN.L
480,HAN.L^G93
481,HARL.L
482,HARL.L^B92
483,HAYS.L
484,HAYS.L^G93
485,HDD.L
486,HDD.L^H99
487,HDGr.L^H06
488,HDGr.L^H05
489,HHC.L^D10
490,HHC.L^K99
491,HICLc.L^D12
492,HICLc.L^A11
493,HICLc.L^A10
494,HICLc.L^F08
495,HINTc.L^A14
496,HINTc.L^H17
497,HNL.L^I17
498,HNL.L^G04
499,HOL.L^H03
500,HOL.L^L09
501,HVO.L
502,HVO.L^A20
503,HWC.L
504,HWC.L^L97
505,HWG.L
506,HWG.L^B00
507,HWG.L^L90
508,HWSLc.L^C18
509,HWSLc.L^L18
510,HYG.L
511,HYG.L^B05
512,HYR.L^D21
513,HYR.L^J00
514,IBST.L
515,IBST.L^D99
516,ICN.L^I03
517,ICN.L^K05
518,IGG.L
519,IGG.L^J01
520,IHC.L
521,IHC.L^C12
522,IIG.L
523,IIG.L^A02
524,IMP.L^A97
525,IMP.L^E08
526,INOV.L
527,INOV.L^L07
528,INP.L^C08
529,INP.L^J97
530,INS.L
531,INS.L^B08
532,INS.L^F94
533,INSP.L
534,INSP.L^B08
535,IOG.L
536,IOG.L^E10
537,IOG.L^G02
538,ION.L^D06
539,ION.L^K98
540,IPSA.L^I16
541,IPSA.L^J03
542,ISA.L^G02
543,ISA.L^L19
544,ITS.L
545,ITS.L^E04
546,ITS.L^I99
547,ITV.L
548,ITV.L^K98
549,IVO.L^C04
550,IVO.L^L17
551,IWG.L
552,IWG.L^L99
553,JFI.L^D97
554,JFI.L^K04
555,JIT.L^B07
556,JIT.L^B01
557,JLG.L^D03
558,JLG.L^I21
559,JOG.L
560,JOG.L^H96
561,JSM.L^A03
562,JSM.L^E12
563,JTC.L
564,JTC.L^I03
565,KEN.L
566,KEN.L^A11
567,KETL.L
568,KETL.L^J90
569,KIST.L
570,KIST.L^L22
571,KRS.L
572,KRS.L^B97
573,LAT.L^F07
574,LAT.L^J02
575,LBP.L^C97
576,LBP.L^A19
577,LCE.L^E91
578,LCE.L^G97
579,LDG.L
580,LDG.L^C07
581,LEX.L
582,LEX.L^I02
583,LFT.L^D01
584,LFT.L^H96
585,LIBL.L
586,LIBL.L^E15
587,LIG.L^I99
588,LIG.L^L04
589,LITL.L
590,LITL.L^I93
591,LLOY.L
592,LLOY.L^L95
593,LOM.L^G03
594,LOM.L^L98
595,LTGL.L
596,LTGL.L^C90
597,LWT.L^E94
598,LWT.L^J13
599,MAPL.L^F09
600,MAPL.L^I93
601,MCS.L^B21
602,MCS.L^G99
603,MDX.L^C09
604,MDX.L^L93
605,MEN.L
606,MEN.L^F04
607,MERL.L^I93
608,MERL.L^K19
609,MGA.L^I00
610,MGA.L^K95
611,MHC.L^A92
612,MHC.L^F05
613,MIG.L
614,MIG.L^I99
615,MNA.L^D97
616,MNA.L^F09
617,MNCS.L^G15
618,MNCS.L^J93
619,MNP.L
620,MNP.L^F91
621,MOG.L^I99
622,MOG.L^H14
623,MOIL.L^D16
624,MOIL.L^L07
625,MORE.L^H98
626,MORE.L^G18
627,MPM.L^C10
628,MPM.L^L19
629,MRLM.L
630,MRLM.L^C16
631,MRO.L^E00
632,MRO.L^J95
633,MRON.L
634,MRON.L^K15
635,MTC.L
636,MTC.L^B99
637,MTGL.L^D09
638,MTGL.L^E92
639,MTM.L^D00
640,MTM.L^E06
641,MTN.L^A94
642,MTN.L^L06
643,MTN.L^L97
644,MYT.L^E18
645,MYT.L^K04
646,MYX.L^E94
647,MYX.L^L00
648,MYXR.L^C20
649,MYXR.L^I17
650,NEW.L^D04
651,NEW.L^K16
652,NEW.L^L09
653,NPT.L^D17
654,NPT.L^K03
655,NSW.L^C94
656,NSW.L^K01
657,NWG.L
658,NWG.L^J11
659,OCT.L^A21
660,OCT.L^E99
661,OCTP.L
662,OCTP.L^C90
663,OKYO.L^C18
664,OKYO.L^E23
665,ONT.L
666,ONT.L^E04
667,OPP.L^F02
668,OPP.L^E22
669,OPT.L^A04
670,OPT.L^J01
671,OSH.L^D97
672,OSH.L^I07
673,PAH.L^B14
674,PAH.L^E99
675,PAN.L^G14
676,PAN.L^J06
677,PBR.L^I99
678,PBR.L^G09
679,PCT.L
680,PCT.L^A97
681,PDL.L
682,PDL.L^C95
683,PEEL.L
684,PEEL.L^I19
685,PER.L^C01
686,PER.L^J06
687,PER.L^L14
688,PHD.L^G21
689,PHD.L^J98
690,PHSC.L
691,PHSC.L^G04
692,PIC.L^A16
693,PIC.L^G96
694,PII.L^G97
695,PII.L^K01
696,PIM.L^C18
697,PIM.L^J00
698,PIRIq.L^D97
699,PIRIq.L^H03
700,PKN.L^C01
701,PKN.L^J03
702,PNPL.L
703,PNPL.L^J90
704,POR.L^F00
705,POR.L^G04
706,PPI.L^E07
707,PPI.L^L97
708,PPIR.L^F15
709,PPIR.L^I18
710,PRF.L^B06
711,PRF.L^L10
712,PRG.L^C04
713,PRG.L^F08
714,PRG.L^L15
715,PRI.L^F03
716,PRI.L^G00
717,PRI.L^L06
718,PRI.L^L93
719,PRM.L
720,PRM.L^A98
721,PST.L^E99
722,PST.L^H10
723,PST.L^J00
724,PTG.L^C95
725,PTG.L^B07
726,PTG.L^L02
727,PTH.L^G04
728,PTH.L^L14
729,PTO.L^H99
730,PTO.L^K04
731,PTX.L^A96
732,PTX.L^F10
733,PUR.L^B23
734,PUR.L^A16
735,PUR.L^K01
736,PWS.L^I00
737,PWS.L^J16
738,QED.L
739,QED.L^J15
740,RAV.L^F22
741,RAV.L^F09
742,RAV.L^J08
743,RBG.L
744,RBG.L^F10
745,RBG.L^I99
746,RDL.L^D03
747,RDL.L^B21
748,RDL.L^A09
749,RDS.L^A08
750,RDS.L^K98
751,REDD.L
752,REDD.L^B20
753,RFG.L^G09
754,RFG.L^J96
755,RGO.L
756,RGO.L^H00
757,RHL.L^I00
758,RHL.L^G19
759,RHM.L
760,RHM.L^C07
761,RHM.L^B93
762,RMDLc.L^C18
763,RMDLc.L^G18
764,ROC.L
765,ROC.L^K09
766,ROD.L
767,ROD.L^I00
768,ROM.L^E11
769,ROM.L^G00
770,RTG.L^B98
771,RTG.L^B92
772,RTN.L
773,RTN.L^C02
774,SAL.L
775,SAL.L^H99
776,SAR.L
777,SAR.L^C99
778,SC.L^A13
779,SC.L^G93
780,SCD.L^I06
781,SCD.L^L00
782,SCK.L^E02
783,SCK.L^G99
784,SCO.L^D13
785,SCO.L^K93
786,SDT.L^E03
787,SDT.L^L99
788,SDX.L
789,SDX.L^J07
790,SDX.L^J98
791,SDX.L^L96
792,SEC.L
793,SEC.L^H99
794,SEIT.L
795,SEIT.L^E12
796,SEQIc.L^C16
797,SEQIc.L^K16
798,SERV.L^A18
799,SERV.L^A08
800,SGB.L^G00
801,SGB.L^J06
802,SGP.L^I07
803,SGP.L^G95
804,SHH.L^I99
805,SHH.L^H20
806,SHL.L^H98
807,SHL.L^K06
808,SIN.L^D10
809,SIN.L^B00
810,SIT.L^H09
811,SIT.L^J97
812,SIT.L^L19
813,SJP.L
814,SJP.L^G98
815,SKYA.L^D13
816,SKYA.L^K18
817,SMH.L^I99
818,SMH.L^J95
819,SOR.L^C10
820,SOR.L^F00
821,SOU.L
822,SOU.L^K98
823,SPC.L^D92
824,SPC.L^B22
825,SPC.L^L01
826,SPF.L^B00
827,SPF.L^E05
828,SPG.L^C92
829,SPG.L^F06
830,SPG.L^H98
831,SPH.L^H02
832,SPH.L^K18
833,SPI.L
834,SPI.L^L10
835,SPT.L
836,SPT.L^A96
837,SRB.L
838,SRB.L^G01
839,SRF.L^J07
840,SRF.L^J97
841,SRO.L^I20
842,SRO.L^G06
843,SSV.L^F12
844,SSV.L^L95
845,STAR.L
846,STAR.L^C08
847,STN.L^H00
848,STN.L^K04
849,STOq.L^G94
850,STOq.L^K98
851,STP.L^A10
852,STP.L^L96
853,SUP.L
854,SUP.L^A01
855,SVA.L^C07
856,SVA.L^L97
857,SVE.L
858,SVE.L^K01
859,SWW.L^D00
860,SWW.L^H98
861,SYG.L^B15
862,SYG.L^L01
863,SYS.L
864,SYS.L^E11
865,TAB.L
866,TAB.L^I99
867,TCG.L^I19
868,TCG.L^H98
869,TCG.L^K02
870,TCY.L^A16
871,TCY.L^J05
872,TED.L^D09
873,TED.L^J22
874,TEG.L
875,TEG.L^F98
876,TEL.L^G96
877,TEL.L^G07
878,THAL.L
879,THAL.L^I93
880,THS.L^G03
881,THS.L^L92
882,TIME.L
883,TIME.L^G10
884,TLS.L^B07
885,TLS.L^J97
886,TOPC.L^C97
887,TOPC.L^A15
888,TRA.L
889,TRA.L^I99
890,TRMc.L^A08
891,TRMc.L^H07
892,TRMc.L^K06
893,TRMcu.L^A08
894,TRMcu.L^K06
895,TRMcx.L^A08
896,TRMcx.L^K06
897,TRU.L
898,TRU.L^I97
899,TRV.L^I00
900,TRV.L^K97
901,TRX.L
902,TRX.L^G07
903,TSB.L^G15
904,TSB.L^L95
905,TTG.L
906,TTG.L^E01
907,TTL.L^I05
908,TTL.L^L01
909,TXN.L^H96
910,TXN.L^G05
911,UBIS.L^D01
912,UBIS.L^F00
913,UCG.L^A21
914,UCG.L^H99
915,UCL.L^E06
916,UCL.L^K08
917,UCLq.L^A09
918,UCLq.L^A00
919,UEMc.L^C08
920,UEMc.L^G06
921,VER.L^H98
922,VER.L^J18
923,VRS.L
924,VRS.L^L96
925,VTU.L
926,VTU.L^A98
927,WGP.L
928,WGP.L^D07
929,WGP.L^G03
930,WLG.L^F95
931,WLG.L^J16
932,WLL.L^D98
933,WLL.L^G04
934,WMG.L^F05
935,WMG.L^K98
936,WSG.L
937,WSG.L^G95
938,WTL.L^A15
939,WTL.L^F04
940,WWH.L
941,WWH.L^J00
942,XPS.L
943,XPS.L^D14
944,ZEN.L^D99
945,ZEN.L^G02
