Company Name,RIC,RIC1(ticker),delisted MM,delisted YY,ISIN,CUSIP,SEDOL
Dolphin Drilling Ord Shs,0EHF.L^G20,0EHF,7,2020,NO0003089005,,
GN Store Nord Ord Shs,0ELB.L^E08,0ELB,5,2008,,,
GN Store Nord Ord Shs,0ELB.L^E09,0ELB,5,2009,,,
Gorenje Ord Shs,0ELK.L^E08,0ELK,5,2008,,,
Heidelberger Druckmaschinen Ord Shs,0ENU.L^L08,0ENU,12,2008,DE0007314007,,
Huhtamaki Ord Shs,0EQR.L^E09,0EQR,5,2009,,,
Iliad Ord Shs,0ET9.L^B09,0ET9,2,2009,NL0013267909,,
Iliad Ord Shs,0ET9.L^D10,0ET9,4,2010,JE00B44ZTP62,,
Immofinanz Ord Shs,0ETM.L^D10,0ETM,4,2010,IE0030515666,,
Intralot Integrated Lottery Systems & Services SA Ord Shs,0EUM.L^K07,0EUM,11,2007,GRS343313003,,
Investor Ord Shs Class A,0EV7.L^E08,0EV7,5,2008,,,
IVG Immobilien Ord Shs,0EWK.L^L08,0EWK,12,2008,DE0006205701,,
KUKA Ord Shs,0EWP.L^H08,0EWP,8,2008,DE0006204407,,
Kardan N V M Ord Shs,0EY6.L^E09,0EY6,5,2009,,,
Kontron Ord Shs,0EYI.L^E08,0EYI,5,2008,,,
Kontron Ord Shs,0EYI.L^H17,0EYI,8,2017,DE0006053952,,
Kemira Ord Shs,0F0Q.L^E09,0F0Q,5,2009,,,
Lifeassays Ord Shs Class B,0F3O.L^A08,0F3O,1,2008,US31846N1028,31846N102,
Neles Ord Shs,0F89.L^D22,0F89,4,2022,GB0030179559,,
Mayr Melnhof Karton Ord Shs,0FA4.L^D10,0FA4,4,2010,GB00BJ00Z303,,
MOL Hungarian Oil and Gas Ord Shs,0FAJ.L^A09,0FAJ,1,2009,,,
Krezus Ord Shs,0FEF.L^K09,0FEF,11,2009,PLNFI0200019,,
Norwegian Property Ord Shs,0FFU.L^E09,0FFU,5,2009,,,
Norske Skogindustrier Ord Shs,0FG3.L^E09,0FG3,5,2009,,,
Kon Ten Cate Ord Shs,0FG9.L^E09,0FG9,5,2009,,,
Norvestia Oyj Ord Shs,0FGF.L^F17,0FGF,6,2017,,,
OMV Ord Shs,0FHW.L^D10,0FHW,4,2010,GB0031664823,,
Prelios Ord Shs,0FKK.L^E08,0FKK,5,2008,,,
Banca Piccolo Credito Valtellinese Ord Shs,0FKN.L^E09,0FKN,5,2009,,,
PGS Ord Shs,0FLN.L^E09,0FLN,5,2009,,,
Polnord Ord Shs,0FNJ.L^K09,0FNJ,11,2009,PLPOLND00019,,
Praktiker Ord Shs,0FOH.L^J08,0FOH,10,2008,DE000A0F6MD5,,
Sky Deutschland Ord Shs,0FOQ.L^K08,0FOQ,11,2008,DE000SKYD000,,
Prochnik Ord Shs,0FPD.L^K09,0FPD,11,2009,PLPRCHK00018,,
Pharol SGPS Ord Shs,0FQ8.L^C16,0FQ8,3,2016,GB0006834237,,
The Navigator Company Ord Shs,0FQA.L^E08,0FQA,5,2008,,,
Pfeiffer Vacuum Technology Ord Shs,0FQR.L^K08,0FQR,11,2008,DE0006916604,,
Remy Cointreau Ord Shs,0FS1.L^D10,0FS1,4,2010,GB00B0KDN652,,
RHI Magnesita Ord Shs,0FSW.L^D10,0FSW,4,2010,GB0034070515,,
Raiffeisen Bank International Ord Shs,0FT4.L^D10,0FT4,4,2010,GB0002903069,,
Ramirent Ord Shs,0FTP.L^E09,0FTP,5,2009,,,
Rautaruukki Ord Shs,0FUN.L^D15,0FUN,4,2015,QQ0032811580,,
Sponda Ord Shs,0FYD.L^E09,0FYD,5,2009,,,
SFS Group Ord Shs,0FZL.L^E09,0FZL,5,2009,,,
SGL Carbon Ord Shs,0FZR.L^D09,0FZR,4,2009,GB0000498104,,
SILIC Ord Shs,0G0J.L^D10,0G0J,4,2010,QQ0032743742,,
SIAS Ord Shs,0G0W.L^A20,0G0W,1,2020,GB00B05N8X20,,
SIAS Ord Shs,0G0W.L^E08,0G0W,5,2008,,,
Smit Intl Ord Shs,0G2B.L^E09,0G2B,5,2009,,,
Stolt-Nielsen Ord Shs,0G2L.L^E09,0G2L,5,2009,,,
Songa Offshore Ord Shs,0G39.L^E09,0G39,5,2009,,,
STADA Arzneimittel Ord Shs,0G4Z.L^B11,0G4Z,2,2011,GB00B07ZY505,,
Tgs Ord Shs,0G95.L^E09,0G95,5,2009,,,
Telegraaf Media Ord Shs,0GA0.L^E09,0GA0,5,2009,,,
Tryggingamidstodin Ord Shs,0GA8.L^A08,0GA8,1,2008,SE0000239543,,
Tomra Systems Ord Shs,0GAL.L^F09,0GAL,6,2009,,,
UNIT4 N.V. Ord Shs,0GDN.L^E09,0GDN,5,2009,,,
Corporacion Empresarial de Materiales de Construccion Ord Shs,0GE0.L^G18,0GE0,7,2018,ES0182170003,,
Hawe Ord Shs,0GFE.L^K09,0GFE,11,2009,PLVENTS00019,,
Flughafen Wien Ord Shs,0GFV.L^D10,0GFV,4,2010,GB00B08X3Q76,,
Matra Petroleum Ord Shs,0GGS.L^K19,0GGS,11,2019,SE0009696040,,
Wavin NV Ord Shs,0GIH.L^H08,0GIH,8,2008,NL0009412683,,
Wienerberger Ord Shs,0GIK.L^D10,0GIK,4,2010,GB0002895752,,
WireCard Ord Shs,0GIP.L^K08,0GIP,11,2008,DE0007472060,,
WireCard Ord Shs,0GIP.L^H08,0GIP,8,2008,DE0007472060,,
Sonae Ord Shs,0GK9.L^E08,0GK9,5,2008,,,
Zodiac Aerospace Ord Shs,0GLA.L^D09,0GLA,4,2009,US0605051046,060505104,
Euler Hermes Group Ord Shs,0GLU.L^D10,0GLU,4,2010,GB00B19HQ991,,
Feelgood Svenska Ord Shs,0GMR.L^H21,0GMR,8,2021,SE0000381840,,
Feelgood Svenska Ord Shs,0GMR.L^A08,0GMR,1,2008,GG00BYXP9G82,,
Cardo Ord Shs,0GMX.L^A08,0GMX,1,2008,GB0003238267,,
Vitrolife Ord Shs,0GN0.L^A08,0GN0,1,2008,GB0001200723,,
Vitrolife Ord Shs,0GN0.L^F18,0GN0,6,2018,,,
Holcim Ltd Ord Shs,0GN1.L^K07,0GN1,11,2007,CH0012214059,,
Trention Ord Shs,0GN7.L^A08,0GN7,1,2008,GB0007006017,,
SAS Ord Shs,0GNC.L^A08,0GNC,1,2008,US3546131018,354613101,
SAS Ord Shs,0GNC.L^E09,0GNC,5,2009,,,
Uniflex Ord Shs Class B,0GNE.L^A08,0GNE,1,2008,GB00B6V9F139,,
Uniflex Ord Shs Class B,0GNE.L^L18,0GNE,12,2018,SE0001283607,,
Radisson Hospitality Ord Shs,0GNM.L^G19,0GNM,7,2019,SE0001857533,,
Radisson Hospitality Ord Shs,0GNM.L^E08,0GNM,5,2008,,,
Petro Welt Technologies Ord Shs,0GNN.L^E08,0GNN,5,2008,,,
Petro Welt Technologies Ord Shs,0GNN.L^D22,0GNN,4,2022,,,
HiQ International Ord Shs,0GNW.L^A08,0GNW,1,2008,GB0000876168,,
Gunnebo Ord Shs,0GNX.L^A08,0GNX,1,2008,GB0005321616,,
Gunnebo Ord Shs,0GNX.L^L20,0GNX,12,2020,SE0000195570,,
Swedish Match Ord Shs,0GO4.L^A23,0GO4,1,2023,JP3420970000,,
Kappahl Ord Shs,0GO5.L^A08,0GO5,1,2008,AU000000BHP4,,
Kappahl Ord Shs,0GO5.L^B18,0GO5,2,2018,GB0000960103,,
SGS Ord Shs,0GOK.L^K07,0GOK,11,2007,CH1256740924,,
Seadrill Ord Shs,0GOL.L^E08,0GOL,5,2008,,,
Trelleborg Ord Shs Class B,0GOO.L^E09,0GOO,5,2009,,,
Rodamco Europe NV Ord Shs,0GOR.L^A08,0GOR,1,2008,GB0001445443,,
Klovern Ord Shs Class A,0GP0.L^A08,0GP0,1,2008,US0970231058,097023105,
Acap Invest Ord Shs,0GP1.L^A08,0GP1,1,2008,BMG1218K1201,,
Air Berlin Ord Shs,0GPE.L^E08,0GPE,5,2008,,,
Air Berlin Ord Shs,0GPE.L^G18,0GPE,7,2018,GB00B128C026,,
Swiss Life Holding Ord Shs,0GPH.L^K07,0GPH,11,2007,CH0014852781,,
Haldex Ord Shs,0GPN.L^A08,0GPN,1,2008,USU104991083,,
TNU Ord Shs,0GPO.L^E08,0GPO,5,2008,,,
Gemalto Ord Shs,0GPP.L^K07,0GPP,11,2007,NL0000400653,,
Stockwik Forvaltning  Ord Shs,0GPT.L^K19,0GPT,11,2019,SE0012257970,,
Stockwik Forvaltning  Ord Shs,0GPT.L^A08,0GPT,1,2008,NL0000886521,,
Acando Ord Shs Class B,0GPV.L^A08,0GPV,1,2008,GB0000931526,,
Electrolux Ord Shs Class A,0GQ1.L^A08,0GQ1,1,2008,GB00BKRV3L73,,
Novartis Ord Shs,0GQ9.L^E08,0GQ9,5,2008,,,
Acap Invest Ord Shs,0GQP.L^A08,0GQP,1,2008,IL0010830219,,
Eurocastle Investments Ltd,0GRF.L^E09,0GRF,5,2009,,,
Boliden Ord Shs,0GRQ.L^E09,0GRQ,5,2009,,,
Gagfah Ord Shs,0GRW.L^I08,0GRW,9,2008,LU0269583422,,
Lonza Group Ord Shs,0GSF.L^K07,0GSF,11,2007,CH0013841017,,
OC Oerlikon Corporation Ord Shs,0GSR.L^K07,0GSR,11,2007,CH0000816824,,
Meda A Ord Shs,0GSU.L^H16,0GSU,8,2016,SE0000221723,,
Meda A Ord Shs,0GSU.L^A08,0GSU,1,2008,GB00B13GFG24,,
Credit Suisse Group Ord Shs,0GTB.L^K07,0GTB,11,2007,CH0012138530,,
Adecco Group Ord Shs,0GTH.L^K07,0GTH,11,2007,CH0012138605,,
Strax Ord Shs,0GTQ.L^A08,0GTQ,1,2008,SG1V61937297,,
Semcon Ord Shs,0GU5.L^A08,0GU5,1,2008,SE0000262982,,
Kudelski Ord Shs,0GUL.L^K07,0GUL,11,2007,CH0012268360,,
