datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc,count
2008-02-11,,,,,2564812.08645787,,,80084812.7481253,,,,9878749.36038818,45924244.5321717,56259745.7573282,376.0,,16658832.3334804,,,5031035.48916612,,-3518282.09086899,31833896.426996,31833896.426996,37448923.5112484,,,,95803065.8138509,96047100.7940009,51617621.1292457,,,,,,221365.063961182,,2524806.35200706,5615027.08425232,4181089542.61138,,,2310411176.00352,421571983.987649,,3759516669.60741,,,,5615027.08425232,1155205588.00176,,,12
2009-01-23,,,,,4173136.67635205,,,15251302.1745243,,,,7963052.26356735,68858381.6891658,76643467.7916234,384.0,,16658832.3334804,,,5031035.48916612,,-1460469.66913488,52356459.8369107,52356459.8369107,61027638.0260568,,,,166581977.917331,167422116.4589,71960333.3114631,,,,,,-106379.098322242,,3210598.08791827,8671178.18914613,6412141776.55825,,,3165429266.43546,638022740.622364,,5774118395.09795,,,,8671178.18914613,1582714633.21773,,,13
2010-01-22,,,,,3344788.79768228,,,153019155.499759,,,,6265725.00241429,68858381.6891658,76643467.7916234,394.0,,30159891.839691,,,5031035.48916612,,3797336.62964751,50621390.709802,50621390.709802,58348779.4495413,,,,164655074.920328,147605320.405601,64236085.9874457,,,,,,313854.176726219,,2618440.56011589,7727388.73973926,6244037977.71125,,,2669842102.6364,620848995.692902,,5623188384.20087,,,,7727388.73973926,1334921051.3182,,,14
2011-01-21,,,,,4303787.56293519,,,117477536.818425,,,,6713551.494376,68858381.6891658,76643467.7916234,403.0,,34645936.2613819,,,5031035.48916612,,1865180.63202999,55522773.9689341,55522773.9689341,64318515.3294055,,,,236467270.894483,147605320.405601,72031270.7337975,,,,,,-2034118.20032137,,3007912.80128548,8795741.36047135,7350851302.30316,,,3084132487.58436,738972754.515265,,6611877861.04981,,,,8795741.36047135,1542066243.79218,,,15
2011-12-31,,,,,4303787.56293519,,,117477536.818425,,,,6713551.494376,68858381.6891658,76643467.7916234,403.0,,34645936.2613819,,,5031035.48916612,,1865180.63202999,55522773.9689341,55522773.9689341,64318515.3294055,,,,236467270.894483,147605320.405601,72031270.7337975,,,,,,-2034118.20032137,,3007912.80128548,8795741.36047135,7350851302.30316,,,3084132487.58436,738972754.515265,,6611877861.04981,,,,8795741.36047135,1542066243.79218,,,16
2012-01-20,,,,,4530548.51749147,,,53789193.0140785,,,,7892587.62798635,68858381.6891658,76643467.7916234,404.0,,34636486.2414676,,,5031035.48916612,,567090.934300341,53981427.2290956,53981427.2290956,62329198.0162116,,,,276955266.328925,147605320.405601,69768662.137372,,,,,,974902.090443686,,2615758.42576792,8347770.78711604,7995141148.94411,,,3368548984.87628,760137338.875853,,7235004496.61903,,,,8347770.78711604,1684274492.43814,,,16
2012-12-31,,,,,4530548.51749147,,,53789193.0140785,,,,7892587.62798635,68858381.6891658,76643467.7916234,404.0,,34636486.2414676,,,5031035.48916612,,567090.934300341,53981427.2290956,53981427.2290956,62329198.0162116,,,,276955266.328925,147605320.405601,69768662.137372,,,,,,974902.090443686,,2615758.42576792,8347770.78711604,7995141148.94411,,,3368548984.87628,760137338.875853,,7235004496.61903,,,,8347770.78711604,1684274492.43814,,,17
2013-01-25,,,,,9685629.16439104,,,194588390.005461,,,,8310417.6952485,68858381.6891658,76643467.7916234,393.0,,33909784.2708902,,,5031035.48916612,,1130550.19115238,54335640.2512288,54335640.2512288,62586909.0660841,,,,270899855.761879,147605320.405601,70961180.6663026,,,,,,672.146368104861,,2809571.81867832,8251268.81485527,8276754588.6947,,,3634451350.30038,766273745.494265,,7510481515.3468,,,,8251268.81485527,1817225675.15019,,,17
2013-12-31,,,,,9685629.16439104,,,194588390.005461,,,,8310417.6952485,68858381.6891658,76643467.7916234,393.0,,33909784.2708902,,,5031035.48916612,,1130550.19115238,54335640.2512288,54335640.2512288,62586909.0660841,,,,270899855.761879,147605320.405601,70961180.6663026,,,,,,672.146368104861,,2809571.81867832,8251268.81485527,8276754588.6947,,,3634451350.30038,766273745.494265,,7510481515.3468,,,,8251268.81485527,1817225675.15019,,,18
2014-01-28,,,,,20157345.3741039,,,80750481.171595,,,,21442760.9206989,68858381.6891658,76643467.7916234,398.0,,34131165.4345878,,,5031035.48916612,,1253618.42517921,42759009.890233,42759009.890233,48672597.9390681,,,,266363809.565412,147605320.405601,75111566.1290323,,,,,,-50740.0873655914,,2809571.81867832,5913588.04883513,8999663756.65323,,,3971649894.48924,780485376.926523,,8219178379.7267,,,,5913588.04883513,1985824947.24462,,,18
