Date,HIGH,LOW,OPEN,CLOSE,COUNT,VOLUME
1990-09-19,305.0,300.0,300.0,306.0,,992205
1990-09-20,313.0,310.0,312.0,311.0,,2802976
1990-09-21,310.0,302.875,310.0,308.0,,1638420
1990-09-24,308.0,302.0,305.0,304.0,,1026478
1990-09-25,304.0,302.0,303.0,306.0,,594910
1990-09-26,311.0,306.0,308.0,309.0,,420862
1990-09-27,313.25,308.5,310.0,310.5,,633548
1990-09-28,310.0,304.0,308.0,306.5,,1015640
1990-10-01,309.0,306.0,306.0,307.5,,440849
1990-10-02,308.0,307.0,308.0,309.0,,371333
1990-10-03,311.0,308.0,309.5,307.0,,1133740
1990-10-04,308.0,303.0,303.875,307.0,,422042
1990-10-05,307.0,299.0,303.0,301.0,,1361445
1990-10-08,311.0,301.0,311.0,306.0,,2355852
1990-10-09,305.0,300.0,305.0,300.0,,862527
1990-10-10,301.0,296.0,299.0,300.0,,1351386
1990-10-11,301.0,299.0,300.0,302.0,,890480
1990-10-12,302.0,299.0,299.0,303.0,,157058
1990-10-15,302.5,296.0,302.5,298.0,,998396
1990-10-16,297.0,293.0,297.0,295.0,,780980
1990-10-17,297.0,294.0,294.0,296.0,,254090
1990-10-18,295.0,294.0,295.0,297.0,,415320
1990-10-19,294.0,291.0,293.0,294.0,,675863
1990-10-22,299.0,295.0,295.0,298.0,,1722904
1990-10-23,304.0,303.0,303.0,304.0,,514260
1990-10-24,309.0,306.0,306.0,308.0,,925720
1990-10-25,305.875,305.0,305.5,305.0,,355680
1990-10-26,305.0,302.0,303.0,306.0,,254660
1990-10-29,309.0,304.0,306.0,308.0,,675391
1990-10-30,309.0,306.0,307.0,308.0,,481478
1990-10-31,308.0,306.0,307.0,306.0,,493855
1990-11-01,306.0,299.0,306.0,301.0,,457615
1990-11-02,298.0,294.0,294.0,297.0,,742605
1990-11-05,297.0,293.0,295.0,294.0,,201428
1990-11-06,296.5,294.0,296.0,297.0,,943568
1990-11-07,299.0,295.0,295.0,297.0,,136370
1990-11-08,297.0,295.0,295.0,297.0,,928850
1990-11-09,298.0,295.0,295.0,298.0,,367830
1990-11-12,301.0,298.0,298.0,300.0,,451815
1990-11-13,305.0,302.0,304.0,304.0,,365000
1990-11-14,302.0,299.0,300.0,301.5,,1435350
1990-11-15,307.0,304.0,304.0,306.0,,1178550
1990-11-16,308.0,306.0,306.0,308.0,,241442
1990-11-19,316.0,311.0,311.0,315.0,,1766126
1990-11-20,320.0,313.0,313.0,318.0,,372708
1990-11-21,320.0,313.0,313.0,319.0,,2060320
1990-11-22,328.0,318.0,318.0,327.0,,1896072
1990-11-23,335.0,324.0,324.0,335.0,,3900264
1990-11-26,341.0,327.5,335.0,333.0,,998382
1990-11-27,334.0,328.0,328.0,332.0,,233705
1990-11-28,331.0,328.0,328.0,329.0,,630107
1990-11-29,335.0,327.0,327.0,331.0,,1420914
1990-11-30,334.0,328.0,328.0,335.0,,1375205
1990-12-03,345.0,337.5,338.0,341.0,,513316
1990-12-04,342.0,336.0,339.0,339.0,,991606
1990-12-05,339.0,336.0,337.0,340.0,,980660
1990-12-06,349.0,341.0,341.0,347.0,,693260
1990-12-07,352.0,344.0,344.0,349.0,,447446
1990-12-10,356.0,349.0,352.0,356.0,,4692800
1990-12-11,355.0,346.0,355.0,344.0,,2690658
1990-12-12,344.0,340.0,342.0,342.0,,1281752
1990-12-13,338.0,331.0,335.0,338.0,,2350299
1990-12-14,344.0,337.0,337.0,339.0,,546560
1990-12-17,341.0,337.0,341.0,339.0,,394971
1990-12-18,344.0,338.0,342.0,343.0,,660900
1990-12-19,342.0,340.0,340.0,341.0,,114686
1990-12-20,338.0,334.0,338.0,336.5,,303430
1990-12-21,344.0,336.0,338.0,340.0,,252655
1990-12-24,342.0,337.0,337.0,341.0,,160780
1990-12-27,344.0,340.0,340.0,343.0,,150640
1990-12-28,346.0,341.0,341.0,344.0,,145573
1990-12-31,343.0,339.0,343.0,341.0,,168282
1991-01-02,338.0,334.0,335.0,336.0,,336227
1991-01-03,336.5,334.0,335.0,336.0,,22724
1991-01-04,335.875,333.0,333.0,337.0,,498980
1991-01-07,337.0,333.0,335.0,336.0,,264582
1991-01-08,337.0,332.0,334.5,334.0,,242080
1991-01-09,337.0,333.0,333.0,338.0,,683774
1991-01-10,338.0,335.0,338.0,338.0,,164910
1991-01-11,342.0,337.0,337.0,340.0,,648571
1991-01-14,332.0,330.0,332.0,332.0,,202462
1991-01-15,333.0,330.0,331.0,333.0,,170170
1991-01-16,332.0,329.0,329.0,331.0,,117219
1991-01-17,342.0,333.0,333.0,342.0,,925300
