,Instrument,TR.ACCOUNTSPAYABLE,TR.ACCOUNTSPAYABLE.CALCDATE,TR.ACCOUNTSPAYABLE.FPERIOD,TR.ACCTSRECEIVTRADENET,TR.ACCTSRECEIVTRADENET.CALCDATE,TR.ACCTSRECEIVTRADENET.FPERIOD,TR.ADVERTISINGEXPENSE,TR.ADVERTISINGEXPENSE.CALCDATE,TR.ADVERTISINGEXPENSE.FPERIOD,TR.BACKLOGVALUEACTUAL,TR.BACKLOGVALUEACTUAL.CALCDATE,TR.BACKLOGVALUEACTUAL.FPERIOD,TR.CAPITALEXPENDITURES,TR.CAPITALEXPENDITURES.CALCDATE,TR.CAPITALEXPENDITURES.FPERIOD,TR.CAPITALLEASEOBLIGATIONS,TR.CAPITALLEASEOBLIGATIONS.CALCDATE,TR.CAPITALLEASEOBLIGATIONS.FPERIOD,TR.CASHANDSTINVESTMENTS,TR.CASHANDSTINVESTMENTS.CALCDATE,TR.CASHANDSTINVESTMENTS.FPERIOD,TR.CASHFROMOPERATINGACT,TR.CASHFROMOPERATINGACT.CALCDATE,TR.CASHFROMOPERATINGACT.FPERIOD,TR.COSTOFREVENUETOTAL,TR.COSTOFREVENUETOTAL.CALCDATE,TR.COSTOFREVENUETOTAL.FPERIOD,TR.DEFERREDREVENUECURRENT,TR.DEFERREDREVENUECURRENT.CALCDATE,TR.DEFERREDREVENUECURRENT.FPERIOD,TR.DEFERREDREVENUELT,TR.DEFERREDREVENUELT.CALCDATE,TR.DEFERREDREVENUELT.FPERIOD,TR.DEPRDEPLETIONANDAMORT,TR.DEPRDEPLETIONANDAMORT.CALCDATE,TR.DEPRDEPLETIONANDAMORT.FPERIOD,TR.EBITACTVALUE,TR.EBITACTVALUE.CALCDATE,TR.EBITACTVALUE.FPERIOD,TR.EBITDAACTVALUE,TR.EBITDAACTVALUE.CALCDATE,TR.EBITDAACTVALUE.FPERIOD,TR.EMPLOYEES,TR.EMPLOYEES.CALCDATE,TR.EMPLOYEES.FPERIOD,TR.GOODWILLNET,TR.GOODWILLNET.CALCDATE,TR.GOODWILLNET.FPERIOD,TR.GROSSDIVIDENDSCMNSTOCK,TR.GROSSDIVIDENDSCMNSTOCK.CALCDATE,TR.GROSSDIVIDENDSCMNSTOCK.FPERIOD,TR.INCOMETAXESPAYABLE,TR.INCOMETAXESPAYABLE.CALCDATE,TR.INCOMETAXESPAYABLE.FPERIOD,TR.INTEXPENSENETNONOPER,TR.INTEXPENSENETNONOPER.CALCDATE,TR.INTEXPENSENETNONOPER.FPERIOD,TR.INTANGIBLESNET,TR.INTANGIBLESNET.CALCDATE,TR.INTANGIBLESNET.FPERIOD,TR.INTERESTINCOMENONOPERATING,TR.INTERESTINCOMENONOPERATING.CALCDATE,TR.INTERESTINCOMENONOPERATING.FPERIOD,TR.INVENTORYACTVALUE,TR.INVENTORYACTVALUE.CALCDATE,TR.INVENTORYACTVALUE.FPERIOD,TR.ISSUANCERETIREMENTOFSTOCKNET,TR.ISSUANCERETIREMENTOFSTOCKNET.CALCDATE,TR.ISSUANCERETIREMENTOFSTOCKNET.FPERIOD,TR.LEASEEXPENSETOTAL,TR.LEASEEXPENSETOTAL.CALCDATE,TR.LEASEEXPENSETOTAL.FPERIOD,TR.MINORITYINTERESTBSSTMT,TR.MINORITYINTERESTBSSTMT.CALCDATE,TR.MINORITYINTERESTBSSTMT.FPERIOD,TR.NETINCOME,TR.NETINCOME.CALCDATE,TR.NETINCOME.FPERIOD,TR.NETINCOMEBEFOREEXTRAITEMS,TR.NETINCOMEBEFOREEXTRAITEMS.CALCDATE,TR.NETINCOMEBEFOREEXTRAITEMS.FPERIOD,TR.NETINCOMEBEFORETAXES,TR.NETINCOMEBEFORETAXES.CALCDATE,TR.NETINCOMEBEFORETAXES.FPERIOD,TR.OTHERCURRENTASSETS,TR.OTHERCURRENTASSETS.CALCDATE,TR.OTHERCURRENTASSETS.FPERIOD,TR.OTHERCURRENTLIABTOTAL,TR.OTHERCURRENTLIABTOTAL.CALCDATE,TR.OTHERCURRENTLIABTOTAL.FPERIOD,TR.OTHERLTASSETSTOTAL,TR.OTHERLTASSETSTOTAL.CALCDATE,TR.OTHERLTASSETSTOTAL.FPERIOD,TR.OTHERLIABILITIESTOTAL,TR.OTHERLIABILITIESTOTAL.CALCDATE,TR.OTHERLIABILITIESTOTAL.FPERIOD,TR.OTHERNONOPERATINGINCOME,TR.OTHERNONOPERATINGINCOME.CALCDATE,TR.OTHERNONOPERATINGINCOME.FPERIOD,TR.PPTYPLANTEQPMTTTLGROSS,TR.PPTYPLANTEQPMTTTLGROSS.CALCDATE,TR.PPTYPLANTEQPMTTTLGROSS.FPERIOD,TR.PROPERTYPLANTEQUIPMENTTOTALNET,TR.PROPERTYPLANTEQUIPMENTTOTALNET.CALCDATE,TR.PROPERTYPLANTEQUIPMENTTOTALNET.FPERIOD,TR.RECEIVABLESOTHER,TR.RECEIVABLESOTHER.CALCDATE,TR.RECEIVABLESOTHER.FPERIOD,TR.REDEEMABLEPREFERREDTTL,TR.REDEEMABLEPREFERREDTTL.CALCDATE,TR.REDEEMABLEPREFERREDTTL.FPERIOD,TR.RESEARCHANDDEVELOPMENT,TR.RESEARCHANDDEVELOPMENT.CALCDATE,TR.RESEARCHANDDEVELOPMENT.FPERIOD,TR.REVENUE,TR.REVENUE.CALCDATE,TR.REVENUE.FPERIOD,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP.CALCDATE,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP.FPERIOD,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP.CALCDATE,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP.FPERIOD,TR.SGAEXPENSETOTAL,TR.SGAEXPENSETOTAL.CALCDATE,TR.SGAEXPENSETOTAL.FPERIOD,TR.SPECIALITEMSMM,TR.SPECIALITEMSMM.CALCDATE,TR.SPECIALITEMSMM.FPERIOD,TR.TAXCURDOM,TR.TAXCURDOM.CALCDATE,TR.TAXCURDOM.FPERIOD,TR.TAXDEFTOT,TR.TAXDEFTOT.CALCDATE,TR.TAXDEFTOT.FPERIOD,TR.TAXOTHINCTOT,TR.TAXOTHINCTOT.CALCDATE,TR.TAXOTHINCTOT.FPERIOD,TR.TOTALASSETSREPORTED,TR.TOTALASSETSREPORTED.CALCDATE,TR.TOTALASSETSREPORTED.FPERIOD,TR.TOTALCURRLIABILITIES,TR.TOTALCURRLIABILITIES.CALCDATE,TR.TOTALCURRLIABILITIES.FPERIOD,TR.TOTALCURRENTASSETS,TR.TOTALCURRENTASSETS.CALCDATE,TR.TOTALCURRENTASSETS.FPERIOD,TR.TOTALDEBTOUTSTANDING,TR.TOTALDEBTOUTSTANDING.CALCDATE,TR.TOTALDEBTOUTSTANDING.FPERIOD,TR.TOTALEQUITY,TR.TOTALEQUITY.CALCDATE,TR.TOTALEQUITY.FPERIOD,TR.TOTALINVENTORY,TR.TOTALINVENTORY.CALCDATE,TR.TOTALINVENTORY.FPERIOD,TR.TOTALLIABILITIES,TR.TOTALLIABILITIES.CALCDATE,TR.TOTALLIABILITIES.FPERIOD,TR.TOTALLONGTERMDEBT,TR.TOTALLONGTERMDEBT.CALCDATE,TR.TOTALLONGTERMDEBT.FPERIOD,TR.TTLPREFERREDSHARESOUT,TR.TTLPREFERREDSHARESOUT.CALCDATE,TR.TTLPREFERREDSHARESOUT.FPERIOD,TR.WARRANTSCONVERTED,TR.WARRANTSCONVERTED.CALCDATE,TR.WARRANTSCONVERTED.FPERIOD
972,GENL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173188836.0,2023-06-30,FY2022,294845024.0,2023-06-30,FY2022,,,,,,,,,,,,,,,,,,,,,,0.0,2023-06-30,FY2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,IQG.L,1133000.0,2010-06-30,FY2009,2941000.0,2010-06-30,FY2009,,,,,,,-348000.0,2010-06-30,FY2009,,2010-06-30,FY2009,2396000.0,2010-06-30,FY2009,52000.0,2010-06-30,FY2009,9658000.0,2010-06-30,FY2009,,2010-06-30,FY2009,,,,383000.0,2010-06-30,FY2009,,2010-12-31,,,2010-12-31,,87,2010-06-30,FY2009,6069000.0,2010-06-30,FY2009,0.0,2010-06-30,FY2009,0.0,2010-06-30,FY2009,-230000.0,2010-06-30,FY2009,424000.0,2010-06-30,FY2009,,2010-06-30,FY2009,,,,0.0,2010-06-30,FY2009,,,,,2010-06-30,FY2009,873000.0,2010-06-30,FY2009,873000.0,2010-06-30,FY2009,716000.0,2010-06-30,FY2009,,,,624000.0,2010-06-30,FY2009,,,,,2010-06-30,FY2009,,2010-06-30,FY2009,643000.0,2010-06-30,FY2009,162000.0,2010-06-30,FY2009,571000.0,2010-06-30,FY2009,,,,,,,14985000.0,2010-06-30,FY2009,,2010-06-30,FY2009,,,,4397000.0,2010-06-30,FY2009,,2010-06-30,FY2009,1000.0,2010-06-30,FY2009,10000.0,2010-06-30,FY2009,-157000.0,2010-06-30,FY2009,12971000.0,2010-06-30,FY2009,3174000.0,2010-06-30,FY2009,6316000.0,2010-06-30,FY2009,3623000.0,2010-06-30,FY2009,6299000.0,2010-06-30,FY2009,264000.0,2010-06-30,FY2009,6672000.0,2010-06-30,FY2009,3379000.0,2010-06-30,FY2009,,,,,,
974,IQG.L,1133000.0,2010-12-31,FY2009,2941000.0,2010-12-31,FY2009,,,,,,,-348000.0,2010-12-31,FY2009,,2010-12-31,FY2010,2396000.0,2010-12-31,FY2009,52000.0,2010-12-31,FY2009,9658000.0,2010-12-31,FY2009,,2010-12-31,FY2010,,,,383000.0,2010-12-31,FY2009,,2011-06-30,,,2011-06-30,,87,2010-12-31,FY2009,6069000.0,2010-12-31,FY2009,0.0,2010-12-31,FY2009,0.0,2010-12-31,FY2009,-230000.0,2010-12-31,FY2009,424000.0,2010-12-31,FY2009,,2010-12-31,FY2010,,,,0.0,2010-12-31,FY2009,,,,,2010-12-31,FY2010,873000.0,2010-12-31,FY2009,873000.0,2010-12-31,FY2009,716000.0,2010-12-31,FY2009,,,,624000.0,2010-12-31,FY2009,,,,,2010-12-31,FY2010,,2010-12-31,FY2010,643000.0,2010-12-31,FY2009,162000.0,2010-12-31,FY2009,571000.0,2010-12-31,FY2009,,,,,,,14985000.0,2010-12-31,FY2009,,2010-12-31,FY2010,,,,4397000.0,2010-12-31,FY2009,,2010-12-31,FY2010,1000.0,2010-12-31,FY2009,10000.0,2010-12-31,FY2009,-157000.0,2010-12-31,FY2009,12971000.0,2010-12-31,FY2009,3174000.0,2010-12-31,FY2009,6316000.0,2010-12-31,FY2009,3623000.0,2010-12-31,FY2009,6299000.0,2010-12-31,FY2009,264000.0,2010-12-31,FY2009,6672000.0,2010-12-31,FY2009,3379000.0,2010-12-31,FY2009,,,,,,
975,IQG.L,4123000.0,2011-09-20,FY2010,5386000.0,2011-09-20,FY2010,,,,,,,-618000.0,2011-09-20,FY2010,,2011-09-20,FY2011,7130000.0,2011-09-20,FY2010,726000.0,2011-09-20,FY2010,11762000.0,2011-09-20,FY2010,,2011-09-20,FY2011,,,,396000.0,2011-09-20,FY2010,,2011-12-31,,,2011-12-31,,113,2011-09-20,FY2010,6069000.0,2011-09-20,FY2010,0.0,2011-09-20,FY2010,8000.0,2011-09-20,FY2010,-237000.0,2011-09-20,FY2010,525000.0,2011-09-20,FY2010,,2011-09-20,FY2011,,,,4846000.0,2011-09-20,FY2010,,,,,2011-09-20,FY2011,398000.0,2011-09-20,FY2010,398000.0,2011-09-20,FY2010,395000.0,2011-09-20,FY2010,,,,201000.0,2011-09-20,FY2010,,,,0.0,2011-09-20,FY2010,,2011-09-20,FY2011,614000.0,2011-09-20,FY2010,279000.0,2011-09-20,FY2010,698000.0,2011-09-20,FY2010,,,,,,,17697000.0,2011-09-20,FY2010,,2011-09-20,FY2011,,,,5308000.0,2011-09-20,FY2010,0.0,2011-09-20,FY2010,23000.0,2011-09-20,FY2010,21000.0,2011-09-20,FY2010,-3000.0,2011-09-20,FY2010,21267000.0,2011-09-20,FY2010,8346000.0,2011-09-20,FY2010,14394000.0,2011-09-20,FY2010,3618000.0,2011-09-20,FY2010,11535000.0,2011-09-20,FY2010,364000.0,2011-09-20,FY2010,9732000.0,2011-09-20,FY2010,1246000.0,2011-09-20,FY2010,,,,,,
976,IQG.L,4105000.0,2012-03-06,FY2011,7534000.0,2012-03-06,FY2011,,,,,,,-1386000.0,2012-03-06,FY2011,,2012-03-06,FY2011,6034000.0,2012-03-06,FY2011,-2285000.0,2012-03-06,FY2011,15308000.0,2012-03-06,FY2011,,2012-03-06,FY2011,,,,764000.0,2012-03-06,FY2011,,2012-06-30,,1448000.0,2012-06-30,FY2011,172,2012-03-06,FY2011,7418000.0,2012-03-06,FY2011,0.0,2012-03-06,FY2011,0.0,2012-03-06,FY2011,-185000.0,2012-03-06,FY2011,2258000.0,2012-03-06,FY2011,,2012-03-06,FY2011,,,,5238000.0,2012-03-06,FY2011,,,,,2012-03-06,FY2011,34000.0,2012-03-06,FY2011,34000.0,2012-03-06,FY2011,141000.0,2012-03-06,FY2011,,,,739000.0,2012-03-06,FY2011,,,,160000.0,2012-03-06,FY2011,,2012-03-06,FY2011,826000.0,2012-03-06,FY2011,366000.0,2012-03-06,FY2011,1650000.0,2012-03-06,FY2011,,,,,,,23785000.0,2012-03-06,FY2011,,2012-03-06,FY2011,,,,7377000.0,2012-03-06,FY2011,-47000.0,2012-03-06,FY2011,0.0,2012-03-06,FY2011,240000.0,2012-03-06,FY2011,107000.0,2012-03-06,FY2011,27241000.0,2012-03-06,FY2011,7294000.0,2012-03-06,FY2011,17199000.0,2012-03-06,FY2011,0.0,2012-03-06,FY2011,19238000.0,2012-03-06,FY2011,1667000.0,2012-03-06,FY2011,8003000.0,2012-03-06,FY2011,0.0,2012-03-06,FY2011,,,,,,
977,IQG.L,4105000.0,2012-09-04,FY2011,7534000.0,2012-09-04,FY2011,,,,,,,-1386000.0,2012-09-04,FY2011,,2012-09-04,FY2012,6034000.0,2012-09-04,FY2011,-2285000.0,2012-09-04,FY2011,15308000.0,2012-09-04,FY2011,,2012-09-04,FY2012,,,,764000.0,2012-09-04,FY2011,,2012-12-31,,1448000.0,2012-12-31,FY2011,172,2012-09-04,FY2011,7418000.0,2012-09-04,FY2011,0.0,2012-09-04,FY2011,0.0,2012-09-04,FY2011,-185000.0,2012-09-04,FY2011,2258000.0,2012-09-04,FY2011,,2012-09-04,FY2012,,,,5238000.0,2012-09-04,FY2011,,,,,2012-09-04,FY2012,34000.0,2012-09-04,FY2011,34000.0,2012-09-04,FY2011,141000.0,2012-09-04,FY2011,,,,739000.0,2012-09-04,FY2011,,,,160000.0,2012-09-04,FY2011,,2012-09-04,FY2012,826000.0,2012-09-04,FY2011,366000.0,2012-09-04,FY2011,1650000.0,2012-09-04,FY2011,,,,,,,23785000.0,2012-09-04,FY2011,,2012-09-04,FY2012,,,,7377000.0,2012-09-04,FY2011,-47000.0,2012-09-04,FY2011,0.0,2012-09-04,FY2011,240000.0,2012-09-04,FY2011,107000.0,2012-09-04,FY2011,27241000.0,2012-09-04,FY2011,7294000.0,2012-09-04,FY2011,17199000.0,2012-09-04,FY2011,0.0,2012-09-04,FY2011,19238000.0,2012-09-04,FY2011,1667000.0,2012-09-04,FY2011,8003000.0,2012-09-04,FY2011,0.0,2012-09-04,FY2011,,,,,,
978,IQG.L,2938000.0,2013-04-02,FY2012,7310000.0,2013-04-02,FY2012,,,,,,,-2341000.0,2013-04-02,FY2012,,2013-04-02,FY2012,2716000.0,2013-04-02,FY2012,-783000.0,2013-04-02,FY2012,14690000.0,2013-04-02,FY2012,,2013-04-02,FY2012,,,,1437000.0,2013-04-02,FY2012,-23000.0,2013-06-30,FY2012,1157000.0,2013-06-30,FY2012,175,2013-04-02,FY2012,7418000.0,2013-04-02,FY2012,0.0,2013-04-02,FY2012,,2013-04-02,FY2012,0.0,2013-04-02,FY2012,2901000.0,2013-04-02,FY2012,,2013-04-02,FY2012,,,,225000.0,2013-04-02,FY2012,,,,,2013-04-02,FY2012,-638000.0,2013-04-02,FY2012,-638000.0,2013-04-02,FY2012,-728000.0,2013-04-02,FY2012,,,,292000.0,2013-04-02,FY2012,,,,0.0,2013-04-02,FY2012,,2013-04-02,FY2012,1060000.0,2013-04-02,FY2012,621000.0,2013-04-02,FY2012,2490000.0,2013-04-02,FY2012,,,,,,,24292000.0,2013-04-02,FY2012,,2013-04-02,FY2012,,,,63000.0,2013-04-02,FY2012,-418000.0,2013-04-02,FY2012,0.0,2013-04-02,FY2012,104000.0,2013-04-02,FY2012,-90000.0,2013-04-02,FY2012,24820000.0,2013-04-02,FY2012,5246000.0,2013-04-02,FY2012,13880000.0,2013-04-02,FY2012,0.0,2013-04-02,FY2012,18921000.0,2013-04-02,FY2012,862000.0,2013-04-02,FY2012,5899000.0,2013-04-02,FY2012,0.0,2013-04-02,FY2012,,,,,,
979,IQG.L,2938000.0,2013-09-11,FY2012,7310000.0,2013-09-11,FY2012,,,,,,,-2341000.0,2013-09-11,FY2012,,2013-09-11,FY2013,2716000.0,2013-09-11,FY2012,-783000.0,2013-09-11,FY2012,14690000.0,2013-09-11,FY2012,,2013-09-11,FY2013,,,,1437000.0,2013-09-11,FY2012,-23000.0,2013-12-31,FY2012,1157000.0,2013-12-31,FY2012,175,2013-09-11,FY2012,7418000.0,2013-09-11,FY2012,0.0,2013-09-11,FY2012,,2013-09-11,FY2012,0.0,2013-09-11,FY2012,2901000.0,2013-09-11,FY2012,,2013-09-11,FY2013,,,,225000.0,2013-09-11,FY2012,,,,,2013-09-11,FY2013,-638000.0,2013-09-11,FY2012,-638000.0,2013-09-11,FY2012,-728000.0,2013-09-11,FY2012,,,,292000.0,2013-09-11,FY2012,,,,0.0,2013-09-11,FY2012,,2013-09-11,FY2013,1060000.0,2013-09-11,FY2012,621000.0,2013-09-11,FY2012,2490000.0,2013-09-11,FY2012,,,,,,,24292000.0,2013-09-11,FY2012,,2013-09-11,FY2013,,,,63000.0,2013-09-11,FY2012,-418000.0,2013-09-11,FY2012,0.0,2013-09-11,FY2012,104000.0,2013-09-11,FY2012,-90000.0,2013-09-11,FY2012,24820000.0,2013-09-11,FY2012,5246000.0,2013-09-11,FY2012,13880000.0,2013-09-11,FY2012,0.0,2013-09-11,FY2012,18921000.0,2013-09-11,FY2012,862000.0,2013-09-11,FY2012,5899000.0,2013-09-11,FY2012,0.0,2013-09-11,FY2012,,,,,,
980,IQG.L,6335000.0,2014-04-08,FY2013,6931000.0,2014-04-08,FY2013,,,,,,,-3225000.0,2014-04-08,FY2013,,2014-04-08,FY2013,3964000.0,2014-04-08,FY2013,-754000.0,2014-04-08,FY2013,17761000.0,2014-04-08,FY2013,,2014-04-08,FY2013,,,,1911000.0,2014-04-08,FY2013,-457000.0,2014-06-30,FY2013,1141000.0,2014-06-30,FY2013,239,2014-04-08,FY2013,9619000.0,2014-04-08,FY2013,0.0,2014-04-08,FY2013,41000.0,2014-04-08,FY2013,-103000.0,2014-04-08,FY2013,6628000.0,2014-04-08,FY2013,,2014-04-08,FY2013,,,,111000.0,2014-04-08,FY2013,,,,554000.0,2014-04-08,FY2013,-1968000.0,2014-04-08,FY2013,-1968000.0,2014-04-08,FY2013,-1719000.0,2014-04-08,FY2013,,,,1273000.0,2014-04-08,FY2013,,,,429000.0,2014-04-08,FY2013,,2014-04-08,FY2013,1296000.0,2014-04-08,FY2013,628000.0,2014-04-08,FY2013,3971000.0,2014-04-08,FY2013,,,,,,,27002000.0,2014-04-08,FY2013,,2014-04-08,FY2013,,,,92000.0,2014-04-08,FY2013,-764000.0,2014-04-08,FY2013,2000.0,2014-04-08,FY2013,358000.0,2014-04-08,FY2013,219000.0,2014-04-08,FY2013,34973000.0,2014-04-08,FY2013,10023000.0,2014-04-08,FY2013,18098000.0,2014-04-08,FY2013,3500000.0,2014-04-08,FY2013,18694000.0,2014-04-08,FY2013,2587000.0,2014-04-08,FY2013,16279000.0,2014-04-08,FY2013,3500000.0,2014-04-08,FY2013,,,,,,
981,IQG.L,6335000.0,2014-09-16,FY2013,6931000.0,2014-09-16,FY2013,,,,,,,-3225000.0,2014-09-16,FY2013,,2014-09-16,FY2014,3964000.0,2014-09-16,FY2013,-754000.0,2014-09-16,FY2013,17761000.0,2014-09-16,FY2013,,2014-09-16,FY2014,,,,1911000.0,2014-09-16,FY2013,-1392000.0,2015-03-17,FY2014,1904000.0,2015-03-17,FY2014,239,2014-09-16,FY2013,9619000.0,2014-09-16,FY2013,0.0,2014-09-16,FY2013,41000.0,2014-09-16,FY2013,-103000.0,2014-09-16,FY2013,6628000.0,2014-09-16,FY2013,,2014-09-16,FY2014,,,,111000.0,2014-09-16,FY2013,,,,554000.0,2014-09-16,FY2013,-1968000.0,2014-09-16,FY2013,-1968000.0,2014-09-16,FY2013,-1719000.0,2014-09-16,FY2013,,,,1273000.0,2014-09-16,FY2013,,,,429000.0,2014-09-16,FY2013,,2014-09-16,FY2014,1296000.0,2014-09-16,FY2013,628000.0,2014-09-16,FY2013,3971000.0,2014-09-16,FY2013,,,,,,,27002000.0,2014-09-16,FY2013,,2014-09-16,FY2014,,,,92000.0,2014-09-16,FY2013,-764000.0,2014-09-16,FY2013,2000.0,2014-09-16,FY2013,358000.0,2014-09-16,FY2013,219000.0,2014-09-16,FY2013,34973000.0,2014-09-16,FY2013,10023000.0,2014-09-16,FY2013,18098000.0,2014-09-16,FY2013,3500000.0,2014-09-16,FY2013,18694000.0,2014-09-16,FY2013,2587000.0,2014-09-16,FY2013,16279000.0,2014-09-16,FY2013,3500000.0,2014-09-16,FY2013,,,,,,
982,IQG.L,6158000.0,2015-03-17,FY2014,8893000.0,2015-03-17,FY2014,,,,,,,-4385000.0,2015-03-17,FY2014,,2015-03-17,FY2014,3697000.0,2015-03-17,FY2014,-2629000.0,2015-03-17,FY2014,21053000.0,2015-03-17,FY2014,,2015-03-17,FY2014,,,,5315000.0,2015-03-17,FY2014,-1392000.0,2015-08-17,FY2014,1904000.0,2015-08-17,FY2014,250,2015-03-17,FY2014,8224000.0,2015-03-17,FY2014,0.0,2015-03-17,FY2014,51000.0,2015-03-17,FY2014,-197000.0,2015-03-17,FY2014,6139000.0,2015-03-17,FY2014,,2015-03-17,FY2014,,,,4041000.0,2015-03-17,FY2014,,,,530000.0,2015-03-17,FY2014,-4085000.0,2015-03-17,FY2014,-4085000.0,2015-03-17,FY2014,-4778000.0,2015-03-17,FY2014,,,,816000.0,2015-03-17,FY2014,,,,724000.0,2015-03-17,FY2014,-14000.0,2015-03-17,FY2014,1778000.0,2015-03-17,FY2014,1112000.0,2015-03-17,FY2014,5393000.0,2015-03-17,FY2014,,,,,,,35051000.0,2015-03-17,FY2014,,2015-03-17,FY2014,,,,75000.0,2015-03-17,FY2014,-2385000.0,2015-03-17,FY2014,0.0,2015-03-17,FY2014,-438000.0,2015-03-17,FY2014,-736000.0,2015-03-17,FY2014,37594000.0,2015-03-17,FY2014,10743000.0,2015-03-17,FY2014,22119000.0,2015-03-17,FY2014,6927000.0,2015-03-17,FY2014,18261000.0,2015-03-17,FY2014,2881000.0,2015-03-17,FY2014,19333000.0,2015-03-17,FY2014,6000000.0,2015-03-17,FY2014,,,,,,
983,IQG.L,6158000.0,2015-08-17,FY2014,8893000.0,2015-08-17,FY2014,,,,,,,-4385000.0,2015-08-17,FY2014,,2015-08-17,FY2015,3697000.0,2015-08-17,FY2014,-2629000.0,2015-08-17,FY2014,21053000.0,2015-08-17,FY2014,,2015-08-17,FY2015,,,,5315000.0,2015-08-17,FY2014,,2016-04-07,,-5222000.0,2016-04-07,FY2015,250,2015-08-17,FY2014,8224000.0,2015-08-17,FY2014,0.0,2015-08-17,FY2014,51000.0,2015-08-17,FY2014,-197000.0,2015-08-17,FY2014,6139000.0,2015-08-17,FY2014,,2015-08-17,FY2015,,,,4041000.0,2015-08-17,FY2014,,,,530000.0,2015-08-17,FY2014,-4085000.0,2015-08-17,FY2014,-4085000.0,2015-08-17,FY2014,-4778000.0,2015-08-17,FY2014,,,,816000.0,2015-08-17,FY2014,,,,724000.0,2015-08-17,FY2014,-14000.0,2015-08-17,FY2014,1778000.0,2015-08-17,FY2014,1112000.0,2015-08-17,FY2014,5393000.0,2015-08-17,FY2014,,,,,,,35051000.0,2015-08-17,FY2014,,2015-08-17,FY2015,,,,75000.0,2015-08-17,FY2014,-2385000.0,2015-08-17,FY2014,0.0,2015-08-17,FY2014,-438000.0,2015-08-17,FY2014,-736000.0,2015-08-17,FY2014,37594000.0,2015-08-17,FY2014,10743000.0,2015-08-17,FY2014,22119000.0,2015-08-17,FY2014,6927000.0,2015-08-17,FY2014,18261000.0,2015-08-17,FY2014,2881000.0,2015-08-17,FY2014,19333000.0,2015-08-17,FY2014,6000000.0,2015-08-17,FY2014,,,,,,
984,IQG.L,4165000.0,2016-04-07,FY2015,5730000.0,2016-04-07,FY2015,,,,,,,-2848000.0,2016-04-07,FY2015,,2016-04-07,FY2015,5392000.0,2016-04-07,FY2015,-3487000.0,2016-04-07,FY2015,14290000.0,2016-04-07,FY2015,,2016-04-07,FY2015,,,,7682000.0,2016-04-07,FY2015,,2016-06-30,,-5222000.0,2016-06-30,FY2015,180,2016-04-07,FY2015,4271000.0,2016-04-07,FY2015,0.0,2016-04-07,FY2015,0.0,2016-04-07,FY2015,-287000.0,2016-04-07,FY2015,5515000.0,2016-04-07,FY2015,,2016-04-07,FY2015,,,,9602000.0,2016-04-07,FY2015,,,,456000.0,2016-04-07,FY2015,-16569000.0,2016-04-07,FY2015,-16569000.0,2016-04-07,FY2015,-17268000.0,2016-04-07,FY2015,,,,135000.0,2016-04-07,FY2015,,,,854000.0,2016-04-07,FY2015,-14000.0,2016-04-07,FY2015,1903000.0,2016-04-07,FY2015,943000.0,2016-04-07,FY2015,2665000.0,2016-04-07,FY2015,,,,,,,21982000.0,2016-04-07,FY2015,,2016-04-07,FY2015,,,,,2016-04-07,FY2015,-8136000.0,2016-04-07,FY2015,0.0,2016-04-07,FY2015,-177000.0,2016-04-07,FY2015,-632000.0,2016-04-07,FY2015,28213000.0,2016-04-07,FY2015,9752000.0,2016-04-07,FY2015,17484000.0,2016-04-07,FY2015,5623000.0,2016-04-07,FY2015,11494000.0,2016-04-07,FY2015,2815000.0,2016-04-07,FY2015,16719000.0,2016-04-07,FY2015,4500000.0,2016-04-07,FY2015,,,,,,
