datadate,xadq,obq,dmq,drcq,drltq,gdwliaq,scstkcq,niq,pstkqq,txfedq,txtq,pstkq,dcvtq,dcpstkq
2017-05-05,,,3144724.13793103,1701439.68896949,,12642866.4804697,28334905.9417476,-55780077.039529,,1972289.91713543,23079207.1488646,,,
2017-08-03,,,3144724.13793103,1701439.68896949,,12642866.4804697,28334905.9417476,-55780077.039529,,1972289.91713543,23079207.1488646,,,
2017-11-10,,,3144724.13793103,1701439.68896949,,12642866.4804697,28334905.9417476,-55780077.039529,,1972289.91713543,23079207.1488646,,,
2018-02-09,,,3144724.13793103,1701439.68896949,,12642866.4804697,28334905.9417476,-21245083.9121412,,1972289.91713543,23079207.1488646,,,
2018-05-11,,,3144724.13793103,1701439.68896949,,12642866.4804697,28334905.9417476,-21245083.9121412,,1972289.91713543,23079207.1488646,,,
2018-08-01,,,3144724.13793103,1701439.68896949,,12642866.4804697,28334905.9417476,-21245083.9121412,,1972289.91713543,23079207.1488646,,,
2018-11-09,,,3144724.13793103,1701439.68896949,,12642866.4804697,28334905.9417476,-21245083.9121412,,1972289.91713543,23079207.1488646,,,
2019-03-15,,,1101308.60629416,1701439.68896949,,12642866.4804697,28334905.9417476,-22535021.6533627,,1972289.91713543,23079207.1488646,,,
2019-05-14,,,1101308.60629416,1701439.68896949,,12642866.4804697,28334905.9417476,-22535021.6533627,,1972289.91713543,23079207.1488646,,,
2019-07-30,,,1101308.60629416,1701439.68896949,,12642866.4804697,28334905.9417476,-22535021.6533627,,1972289.91713543,23079207.1488646,,,
2019-11-04,,,1101308.60629416,1701439.68896949,,12642866.4804697,28334905.9417476,-22535021.6533627,,1972289.91713543,23079207.1488646,,,
2020-02-03,,,1101308.60629416,8454588.25639531,,12642866.4804697,28334905.9417476,3355626.0789633,,1972289.91713543,222355.671143197,,,
2020-05-04,,,1101308.60629416,8454588.25639531,,12642866.4804697,28334905.9417476,3355626.0789633,,1972289.91713543,222355.671143197,,,
2020-08-05,,,1101308.60629416,8454588.25639531,,12642866.4804697,28334905.9417476,3355626.0789633,,1972289.91713543,222355.671143197,,,
2020-11-02,,,1101308.60629416,8454588.25639531,,12642866.4804697,28334905.9417476,3355626.0789633,,1972289.91713543,222355.671143197,,,
2021-03-24,,,29476.3190034196,8932217.87982413,,12642866.4804697,28334905.9417476,-23051374.6824621,,1972289.91713543,1761433.36590132,,,
2021-05-12,,,29476.3190034196,8932217.87982413,,12642866.4804697,28334905.9417476,-23051374.6824621,,1972289.91713543,1761433.36590132,,,
2021-07-30,,,29476.3190034196,8932217.87982413,,12642866.4804697,28334905.9417476,-23051374.6824621,,1972289.91713543,1761433.36590132,,,
2021-11-02,,,29476.3190034196,8932217.87982413,,12642866.4804697,28334905.9417476,-23051374.6824621,,1972289.91713543,1761433.36590132,,,
2022-05-03,,,330225.257485847,10083213.9690335,,12642866.4804697,28334905.9417476,-20952078.3598208,,1972289.91713543,21006.6957688198,,,
2022-05-11,,,330225.257485847,10083213.9690335,,12642866.4804697,28334905.9417476,-20952078.3598208,,1972289.91713543,21006.6957688198,,,
2022-07-29,,,330225.257485847,10083213.9690335,,12642866.4804697,28334905.9417476,-20952078.3598208,,1972289.91713543,21006.6957688198,,,
2022-12-07,,,330225.257485847,10083213.9690335,,12642866.4804697,28334905.9417476,-20952078.3598208,,1972289.91713543,21006.6957688198,,,
2022-12-31,,,330225.257485847,10083213.9690335,,12642866.4804697,28334905.9417476,-20952078.3598208,,1972289.91713543,21006.6957688198,,,
2023-05-04,,,24771.1900684931,10616224.3150685,,12642866.4804697,28334905.9417476,-47582802.0654966,,1972289.91713543,1131512.57491438,,,
