datadate,apq,rectq,xadq,obq,fatbq,capxq,dmq,cheq,oancfq,cogsq,drcq,drltq,dpq,ebitq,ebitdaq,empq,gdwliaq,dvtq,txpq,xintq,intanq,nopiq,scstkcq,niq,ibq,piq,acoq,lcoq,aoq,loq,ppegtq,ppentq,pstkqq,xrdq,revtq,fatlq,xsgaq,spiq,txfedq,txdiq,txtq,atq,lctq,actq,dlcq,ceqq,invtq,ltq,pstkq,dcvtq,dcpstkq,txfoq,dlttq,drq,dcq,count
2004-09-30,13440193.88436,14789301.3162,,,6946110.747,9639032.90652,,2640627.29592,5956183.2168,60100474.21056,,120093.48036,5743760.36712408,,,4492,1637224.47936,421082.7714,103997.67876,1881841.08384,1637224.47936,4184123.41584,2294023.85765568,-1151381.94336,-1151381.94336,1625069.62044,79406.50428,3106694.20464,7663720.7322,6626964.20436,134168459.0166,63871257.6612,,,63235459.20528,,,-4105859.2489602,370642.66308,-328702.87512,192298.10292,94444231.21056,25030965.32244,21271760.07444,25621954.452,37508443.36632,3330606.15504,46298164.37004,,,,-178344.56016000002,8568938.60928,120093.48036,,4
2004-12-30,13440193.88436,14789301.3162,,,6946110.747,9639032.90652,,2640627.29592,5956183.2168,60100474.21056,,120093.48036,5743760.36712408,,,4492,1637224.47936,421082.7714,103997.67876,1881841.08384,1637224.47936,4184123.41584,2294023.85765568,-1151381.94336,-1151381.94336,1625069.62044,79406.50428,3106694.20464,7663720.7322,6626964.20436,134168459.0166,63871257.6612,,,63235459.20528,,,-4105859.2489602,370642.66308,-328702.87512,192298.10292,94444231.21056,25030965.32244,21271760.07444,25621954.452,37508443.36632,3330606.15504,46298164.37004,,,,-178344.56016000002,8568938.60928,120093.48036,,4
2005-03-30,13440193.88436,14789301.3162,,,6946110.747,9639032.90652,,2640627.29592,5956183.2168,60100474.21056,,120093.48036,5743760.36712408,,,4492,1637224.47936,421082.7714,103997.67876,1881841.08384,1637224.47936,4184123.41584,2294023.85765568,-1151381.94336,-1151381.94336,1625069.62044,79406.50428,3106694.20464,7663720.7322,6626964.20436,134168459.0166,63871257.6612,,,63235459.20528,,,-4105859.2489602,370642.66308,-328702.87512,192298.10292,94444231.21056,25030965.32244,21271760.07444,25621954.452,37508443.36632,3330606.15504,46298164.37004,,,,-178344.56016000002,8568938.60928,120093.48036,,4
2005-09-07,13638394.07024,13571282.67316,,,6528312.49876,13586738.09668,,17430336.78688,9372442.60304,77700262.57632,,120093.48036,4566456.12764332,,,4137,1535920.3962,421082.7714,27012.3778,1244207.9306,1535920.3962,1650610.648,23770986.6927315,2472982.76888,3595621.32152,8069841.93412,79406.50428,3770131.8336,4966470.0456,6094104.08768,133022346.44892,68744797.07216,,,85363701.79304,,,-4105859.2489602,408568.8438,2349428.14724,2784260.15708,110745668.07372,22636728.77904,35420547.46316,13441423.395480001,59009917.97656,4000742.22804,39083469.43867999,,,,2375691.31328,4106609.981,120093.48036,,4
2005-09-30,13638394.07024,13571282.67316,,,6528312.49876,13586738.09668,,17430336.78688,9372442.60304,77700262.57632,,120093.48036,4566456.12764332,,,4137,1535920.3962,421082.7714,27012.3778,1244207.9306,1535920.3962,1650610.648,23770986.6927315,2472982.76888,3595621.32152,8069841.93412,79406.50428,3770131.8336,4966470.0456,6094104.08768,133022346.44892,68744797.07216,,,85363701.79304,,,-4105859.2489602,408568.8438,2349428.14724,2784260.15708,110745668.07372,22636728.77904,35420547.46316,13441423.395480001,59009917.97656,4000742.22804,39083469.43867999,,,,2375691.31328,4106609.981,120093.48036,,5
2005-12-30,13638394.07024,13571282.67316,,,6528312.49876,13586738.09668,,17430336.78688,9372442.60304,77700262.57632,,120093.48036,4566456.12764332,,,4137,1535920.3962,421082.7714,27012.3778,1244207.9306,1535920.3962,1650610.648,23770986.6927315,2472982.76888,3595621.32152,8069841.93412,79406.50428,3770131.8336,4966470.0456,6094104.08768,133022346.44892,68744797.07216,,,85363701.79304,,,-4105859.2489602,408568.8438,2349428.14724,2784260.15708,110745668.07372,22636728.77904,35420547.46316,13441423.395480001,59009917.97656,4000742.22804,39083469.43867999,,,,2375691.31328,4106609.981,120093.48036,,5
2006-03-30,13638394.07024,13571282.67316,,,6528312.49876,13586738.09668,,17430336.78688,9372442.60304,77700262.57632,,120093.48036,4566456.12764332,,,4137,1535920.3962,421082.7714,27012.3778,1244207.9306,1535920.3962,1650610.648,23770986.6927315,2472982.76888,3595621.32152,8069841.93412,79406.50428,3770131.8336,4966470.0456,6094104.08768,133022346.44892,68744797.07216,,,85363701.79304,,,-4105859.2489602,408568.8438,2349428.14724,2784260.15708,110745668.07372,22636728.77904,35420547.46316,13441423.395480001,59009917.97656,4000742.22804,39083469.43867999,,,,2375691.31328,4106609.981,120093.48036,,5
2006-08-23,11988118.3251,15308501.251199998,,,6006261.01216,40437158.56475,,5965159.67471,23714591.06236,57858734.05308,,120093.48036,4539602.57968676,,,4522,869931.85035,421082.7714,725849.56524,647088.285,869931.85035,1054313.31077,3120330.95709883,13161466.11046,8910843.03061,18916738.05854,316647.82143,15419943.3315,13918529.09279,5366543.20075,139365188.50764,83130231.97836,,,76368247.08585,,,-4105859.2489602,1215238.29447,4104943.50697,5410045.61192,122507749.51173,30129752.87221,24835514.68314,11486286.881110001,61586540.10977,3245206.47707,49328315.60546,,,,4194807.31745,4382297.83275,120093.48036,,5
2006-09-30,11988118.3251,15308501.251199998,,,6006261.01216,40437158.56475,,5965159.67471,23714591.06236,57858734.05308,,120093.48036,4539602.57968676,,,4522,869931.85035,421082.7714,725849.56524,647088.285,869931.85035,1054313.31077,3120330.95709883,13161466.11046,8910843.03061,18916738.05854,316647.82143,15419943.3315,13918529.09279,5366543.20075,139365188.50764,83130231.97836,,,76368247.08585,,,-4105859.2489602,1215238.29447,4104943.50697,5410045.61192,122507749.51173,30129752.87221,24835514.68314,11486286.881110001,61586540.10977,3245206.47707,49328315.60546,,,,4194807.31745,4382297.83275,120093.48036,,6
2006-12-30,11988118.3251,15308501.251199998,,,6006261.01216,40437158.56475,,5965159.67471,23714591.06236,57858734.05308,,120093.48036,4539602.57968676,,,4522,869931.85035,421082.7714,725849.56524,647088.285,869931.85035,1054313.31077,3120330.95709883,13161466.11046,8910843.03061,18916738.05854,316647.82143,15419943.3315,13918529.09279,5366543.20075,139365188.50764,83130231.97836,,,76368247.08585,,,-4105859.2489602,1215238.29447,4104943.50697,5410045.61192,122507749.51173,30129752.87221,24835514.68314,11486286.881110001,61586540.10977,3245206.47707,49328315.60546,,,,4194807.31745,4382297.83275,120093.48036,,6
