datadate,acoq,actq,aoq,apq,atq,capxq,ceqq,cheq,cogsq,count,countq,dcpstkq,dcq,dcvtq,dlcq,dlttq,dmq,dpq,drcq,drltq,drq,dvtq,ebitdaq,ebitq,empq,fatlq,gdwliaq,ibq,intanq,invtq,lcoq,lctq,loq,ltq,niq,nopiq,oancfq,obq,piq,ppegtq,ppentq,pstkq,pstkqq,rectq,revtq,scstkcq,spiq,txdiq,txfedq,txfoq,txpq,txtq,xadq,xintq,xrdq,xsgaq
2009-12-03,,163499998.1688,12599999.85888,25599999.71328,1861399979.15232,-30203672.75568,525999994.1088,3299999.96304,409700002.17456,7,27,,,,2068299976.83504,1030699988.45616,2699999.96976,224131281.240398,,,,14265941.04096,358841661.4134,156193366.9604,8162.0,,385399995.68352,2229053.32992,1547499982.668,10399999.88352,17399999.80512,130999998.5328,36799999.58784,1335399985.04352,70215179.89248,-111452.80176,197382672.49968,,891621.06144,2064099976.88208,1293999985.5072,,,149799998.32224,1252727971.41504,-17720971.5152524,-159042933.033306,-1448884.39392,111452.80176,-1448885.07024,700000.2483,-1337432.26848,,-75230549.8848,,349292656.6632
2010-03-09,,163499998.1688,12599999.85888,25599999.71328,1861399979.15232,-30203672.75568,525999994.1088,3299999.96304,409700002.17456,7,28,,,,2068299976.83504,1030699988.45616,2699999.96976,224131281.240398,,,,14265941.04096,358841661.4134,156193366.9604,8162.0,,385399995.68352,2229053.32992,1547499982.668,10399999.88352,17399999.80512,130999998.5328,36799999.58784,1335399985.04352,70215179.89248,-111452.80176,197382672.49968,,891621.06144,2064099976.88208,1293999985.5072,,,149799998.32224,1252727971.41504,-17720971.5152524,-159042933.033306,-1448884.39392,111452.80176,-1448885.07024,700000.2483,-1337432.26848,,-75230549.8848,,349292656.6632
2010-06-17,,200500026.90576,13500002.11704,48700006.65216,1692500224.68528,-7020034.8444,500300066.12328,54800007.39528,257645749.30752,8,29,,,,1764500234.2296,880700116.94208,399999.79104,195513189.819764,,,,15192612.6252,275333820.3056,73933226.6752,7218.0,,373600049.7864,1152542.9364,1497700199.38656,9900001.37784,14100001.8036,147800019.72336,37100004.85248,1192200157.90704,2200309.30176,-1362096.07848,202952345.16672,,5029278.68472,1967000260.74552,1101600146.29008,,,135800018.13264,878447320.45584,-17720971.5152524,-33214191.4109568,1571649.87552,4086288.8904,-209553.14208000014,2100000.21288,3876735.74832,,-65171067.7944,,326064892.76904
2010-09-07,,200500026.90576,13500002.11704,48700006.65216,1692500224.68528,-7020034.8444,500300066.12328,54800007.39528,257645749.30752,8,30,,,,1764500234.2296,880700116.94208,399999.79104,195513189.819764,,,,15192612.6252,275333820.3056,73933226.6752,7218.0,,373600049.7864,1152542.9364,1497700199.38656,9900001.37784,14100001.8036,147800019.72336,37100004.85248,1192200157.90704,2200309.30176,-1362096.07848,202952345.16672,,5029278.68472,1967000260.74552,1101600146.29008,,,135800018.13264,878447320.45584,-17720971.5152524,-33214191.4109568,1571649.87552,4086288.8904,-209553.14208000014,2100000.21288,3876735.74832,,-65171067.7944,,326064892.76904
2010-12-09,,200500026.90576,13500002.11704,48700006.65216,1692500224.68528,-7020034.8444,500300066.12328,54800007.39528,257645749.30752,8,31,,,,1764500234.2296,880700116.94208,399999.79104,195513189.819764,,,,15192612.6252,275333820.3056,73933226.6752,7218.0,,373600049.7864,1152542.9364,1497700199.38656,9900001.37784,14100001.8036,147800019.72336,37100004.85248,1192200157.90704,2200309.30176,-1362096.07848,202952345.16672,,5029278.68472,1967000260.74552,1101600146.29008,,,135800018.13264,878447320.45584,-17720971.5152524,-33214191.4109568,1571649.87552,4086288.8904,-209553.14208000014,2100000.21288,3876735.74832,,-65171067.7944,,326064892.76904
2011-03-08,,200500026.90576,13500002.11704,48700006.65216,1692500224.68528,-7020034.8444,500300066.12328,54800007.39528,257645749.30752,8,32,,,,1764500234.2296,880700116.94208,399999.79104,195513189.819764,,,,15192612.6252,275333820.3056,73933226.6752,7218.0,,373600049.7864,1152542.9364,1497700199.38656,9900001.37784,14100001.8036,147800019.72336,37100004.85248,1192200157.90704,2200309.30176,-1362096.07848,202952345.16672,,5029278.68472,1967000260.74552,1101600146.29008,,,135800018.13264,878447320.45584,-17720971.5152524,-33214191.4109568,1571649.87552,4086288.8904,-209553.14208000014,2100000.21288,3876735.74832,,-65171067.7944,,326064892.76904
2011-06-16,,187899960.40947,7199998.48296,81099982.91223,1598499663.19605,-19089775.5705,481399898.56902,18799996.03884,255746849.57442,9,33,,,,1587299665.55589,792799832.95704,1299999.72609,173118021.849864,,,,13943022.28839,274343144.9547,95507760.3981,8163.0,,354899925.22257,842195.75211,1431899698.29867,11499997.57695,11999997.4716,188299960.32519,23299995.09069,1117099764.62703,842195.75211,-1122927.86907,65036246.01939,,1590814.53108,1876699604.57931,1036199781.67266,,,157599966.79367998,887580997.83297,-374309.236439388,-62509642.4841803,-2152278.765,4117402.38618,-3368783.60721,2399999.49432,748618.77897,,-62322503.61924,,314794145.96082
2011-09-06,,187899960.40947,7199998.48296,81099982.91223,1598499663.19605,-19089775.5705,481399898.56902,18799996.03884,255746849.57442,9,34,,,,1587299665.55589,792799832.95704,1299999.72609,173118021.849864,,,,13943022.28839,274343144.9547,95507760.3981,8163.0,,354899925.22257,842195.75211,1431899698.29867,11499997.57695,11999997.4716,188299960.32519,23299995.09069,1117099764.62703,842195.75211,-1122927.86907,65036246.01939,,1590814.53108,1876699604.57931,1036199781.67266,,,157599966.79367998,887580997.83297,-374309.236439388,-62509642.4841803,-2152278.765,4117402.38618,-3368783.60721,2399999.49432,748618.77897,,-62322503.61924,,314794145.96082
2011-12-08,,187899960.40947,7199998.48296,81099982.91223,1598499663.19605,-19089775.5705,481399898.56902,18799996.03884,255746849.57442,9,35,,,,1587299665.55589,792799832.95704,1299999.72609,173118021.849864,,,,13943022.28839,274343144.9547,95507760.3981,8163.0,,354899925.22257,842195.75211,1431899698.29867,11499997.57695,11999997.4716,188299960.32519,23299995.09069,1117099764.62703,842195.75211,-1122927.86907,65036246.01939,,1590814.53108,1876699604.57931,1036199781.67266,,,157599966.79367998,887580997.83297,-374309.236439388,-62509642.4841803,-2152278.765,4117402.38618,-3368783.60721,2399999.49432,748618.77897,,-62322503.61924,,314794145.96082
2012-03-06,,187899960.40947,7199998.48296,81099982.91223,1598499663.19605,-19089775.5705,481399898.56902,18799996.03884,255746849.57442,9,36,,,,1587299665.55589,792799832.95704,1299999.72609,173118021.849864,,,,13943022.28839,274343144.9547,95507760.3981,8163.0,,354899925.22257,842195.75211,1431899698.29867,11499997.57695,11999997.4716,188299960.32519,23299995.09069,1117099764.62703,842195.75211,-1122927.86907,65036246.01939,,1590814.53108,1876699604.57931,1036199781.67266,,,157599966.79367998,887580997.83297,-374309.236439388,-62509642.4841803,-2152278.765,4117402.38618,-3368783.60721,2399999.49432,748618.77897,,-62322503.61924,,314794145.96082
