datadate,acoq,actq,aoq,apq,atq,capxq,ceqq,cheq,cogsq,count,countq,dcpstkq,dcq,dcvtq,dlcq,dlttq,dmq,dpq,drcq,drltq,drq,dvtq,ebitdaq,ebitq,empq,fatbq,fatlq,gdwliaq,ibq,intanq,invtq,lcoq,lctq,loq,ltq,niq,nopiq,oancfq,obq,piq,ppegtq,ppentq,pstkq,pstkqq,rectq,revtq,scstkcq,spiq,txdiq,txfedq,txfoq,txpq,txtq,xadq,xintq,xrdq,xsgaq
2009-05-11,90933800.6211802,1505253537.92205,483865241.15820074,541327965.133754,3642698099.58922,-156592491.734295,980504468.08937,128083461.777377,2854318824.16592,7,25,,,,2291823839.09428,772053030.157299,,170457925.658752,,,,25462070.5340146,447626290.577258,137131046.447247,11058.0,1271521937.48121,,,121428659.853722,20914369.9028154,427872940.386735,279820019.837692,1607218039.07424,149230269.712454,2535929249.9749527,121428659.853722,-20560659.85372206,298627288.448051,,206617198.677487,5079963513.07484,1819236895.50145,,,825448088.56828,3558747545.93728,95958571.3921469,-27554012.8243663,,,,30575707.2437632,,,-37245668.1695221,68710703.5367198,353255279.030157
2009-08-03,108017356.535815,1960281244.84015,651727318.494535,567165280.453258,4788430462.16107,-241658288.951841,1216173448.80615,277868893.565358,4040918431.40429,7,26,,,,3413218512.34319,1246091163.09187,4393016.59247268,244561070.012141,,,,28469855.1193849,447626290.577258,137131046.447247,11264.0,1757524459.7329,,,82379655.2003238,29366821.529745,654093332.254148,364450871.711858,1900050303.52084,225308074.46378,3413154947.794418,82379655.2003238,-31217256.171590418,321573052.205585,,95417450.4249292,6875205159.04492,2347777796.84338,,,872649439.093484,4835870803.72319,95958571.3921469,-46727006.0704168,,,,20545474.7065965,,,-47348526.1027924,99753965.1962768,476070219.344395
2009-11-05,108017356.535815,1960281244.84015,651727318.494535,567165280.453258,4788430462.16107,-241658288.951841,1216173448.80615,277868893.565358,4040918431.40429,7,27,,,,3413218512.34319,1246091163.09187,4393016.59247268,244561070.012141,,,,28469855.1193849,447626290.577258,137131046.447247,11264.0,1757524459.7329,,,82379655.2003238,29366821.529745,654093332.254148,364450871.711858,1900050303.52084,225308074.46378,3413154947.794418,82379655.2003238,-31217256.171590418,321573052.205585,,95417450.4249292,6875205159.04492,2347777796.84338,,,872649439.093484,4835870803.72319,95958571.3921469,-46727006.0704168,,,,20545474.7065965,,,-47348526.1027924,99753965.1962768,476070219.344395
2010-02-04,108017356.535815,1960281244.84015,651727318.494535,567165280.453258,4788430462.16107,-241658288.951841,1216173448.80615,277868893.565358,4040918431.40429,7,28,,,,3413218512.34319,1246091163.09187,4393016.59247268,244561070.012141,,,,28469855.1193849,447626290.577258,137131046.447247,11264.0,1757524459.7329,,,82379655.2003238,29366821.529745,654093332.254148,364450871.711858,1900050303.52084,225308074.46378,3413154947.794418,82379655.2003238,-31217256.171590418,321573052.205585,,95417450.4249292,6875205159.04492,2347777796.84338,,,872649439.093484,4835870803.72319,95958571.3921469,-46727006.0704168,,,,20545474.7065965,,,-47348526.1027924,99753965.1962768,476070219.344395
2010-03-30,108017356.535815,1960281244.84015,651727318.494535,567165280.453258,4788430462.16107,-241658288.951841,1216173448.80615,277868893.565358,4040918431.40429,8,29,,,,3413218512.34319,1246091163.09187,4393016.59247268,244561070.012141,,,,28469855.1193849,447626290.577258,137131046.447247,11264.0,1757524459.7329,,,82379655.2003238,29366821.529745,654093332.254148,364450871.711858,1900050303.52084,225308074.46378,3413154947.794418,82379655.2003238,-31217256.171590418,321573052.205585,,95417450.4249292,6875205159.04492,2347777796.84338,,,872649439.093484,4835870803.72319,95958571.3921469,-46727006.0704168,,,,20545474.7065965,,,-47348526.1027924,99753965.1962768,476070219.344395
2010-05-11,108017356.535815,1960281244.84015,651727318.494535,567165280.453258,4788430462.16107,-241658288.951841,1216173448.80615,277868893.565358,4040918431.40429,8,29,,,,3413218512.34319,1246091163.09187,4393016.59247268,244561070.012141,,,,28469855.1193849,440372831.678895,153552145.015106,11264.0,1757524459.7329,,,82379655.2003238,29366821.529745,654093332.254148,364450871.711858,1900050303.52084,225308074.46378,3413154947.794418,82379655.2003238,-31217256.171590418,321573052.205585,,95417450.4249292,6875205159.04492,2347777796.84338,,,872649439.093484,4835870803.72319,95958571.3921469,-46727006.0704168,,,,20545474.7065965,,,-47348526.1027924,99753965.1962768,476070219.344395
2010-08-02,105340685.747914,1843564190.9908,639613251.872461,556641692.809758,4614728282.79478,-214353178.365076,1262629372.8868,264363046.971967,3159642668.0933,8,30,,,,3173780181.682,1190764853.41322,6103233.68285898,234326116.306441,,,,28394836.6145945,440372831.678895,153552145.015106,11108.0,1777147477.1025,,,57910243.8476354,29691597.5818532,491246882.944575,342034800.342393,1737046553.71282,217573937.941365,3189771217.740208,57910243.8476354,-30487977.95848492,423610931.842499,,109886396.747272,6974248291.24759,2288585774.02097,,,937642750.695485,3873058533.27627,95958571.3921469,-22481888.5084528,,,,27401123.047293,,,-40086828.1617804,91844505.0288894,427092453.135031
2010-11-04,105340685.747914,1843564190.9908,639613251.872461,556641692.809758,4614728282.79478,-214353178.365076,1262629372.8868,264363046.971967,3159642668.0933,8,31,,,,3173780181.682,1190764853.41322,6103233.68285898,234326116.306441,,,,28394836.6145945,440372831.678895,153552145.015106,11108.0,1777147477.1025,,,57910243.8476354,29691597.5818532,491246882.944575,342034800.342393,1737046553.71282,217573937.941365,3189771217.740208,57910243.8476354,-30487977.95848492,423610931.842499,,109886396.747272,6974248291.24759,2288585774.02097,,,937642750.695485,3873058533.27627,95958571.3921469,-22481888.5084528,,,,27401123.047293,,,-40086828.1617804,91844505.0288894,427092453.135031
2011-02-04,105340685.747914,1843564190.9908,639613251.872461,556641692.809758,4614728282.79478,-214353178.365076,1262629372.8868,264363046.971967,3159642668.0933,8,32,,,,3173780181.682,1190764853.41322,6103233.68285898,234326116.306441,,,,28394836.6145945,440372831.678895,153552145.015106,11108.0,1777147477.1025,,,57910243.8476354,29691597.5818532,491246882.944575,342034800.342393,1737046553.71282,217573937.941365,3189771217.740208,57910243.8476354,-30487977.95848492,423610931.842499,,109886396.747272,6974248291.24759,2288585774.02097,,,937642750.695485,3873058533.27627,95958571.3921469,-22481888.5084528,,,,27401123.047293,,,-40086828.1617804,91844505.0288894,427092453.135031
2011-05-11,118216269.633193,2113316497.7751,673843239.687312,668689376.428142,4962652681.65965,-223191536.861094,1405879372.09862,372931144.798557,3706325367.88936,9,33,,,,3157060080.57727,1202170488.635,7989613.34936861,247220392.784125,,,,37772491.2808178,584690913.150753,253408064.396743,11026.0,1882450430.908,,,129536764.04089,37419898.0156344,549497848.82742,395482109.801563,1873252998.07577,256830434.756464,3376365589.536977,129536764.04089,-20225349.84966925,503240613.229104,,215659544.558028,7311448966.68671,2355210481.65965,,,1009286968.61094,4621687492.24293,95958571.3921469,-79198448.9476849,,,,40548225.4960914,,,-36294600.3607937,103144783.042694,479406808.899579
