datadate,apq,rectq,xadq,obq,fatbq,capxq,dmq,cheq,oancfq,cogsq,drcq,drltq,dpq,ebitq,ebitdaq,empq,gdwliaq,dvtq,txpq,xintq,intanq,nopiq,scstkcq,niq,ibq,piq,acoq,lcoq,aoq,loq,ppegtq,ppentq,pstkqq,xrdq,revtq,fatlq,xsgaq,spiq,txfedq,txdiq,txtq,atq,lctq,actq,dlcq,ceqq,invtq,ltq,pstkq,dcvtq,dcpstkq,txfoq,dlttq,drq,dcq,count
2014-01-31,2339722202.99395,3298483227.51885,,,,4587705795.20119,,12257263185.5823,1822172561.84308,40796806263.4038,,,4337801019.21648,-4854765509.89231,2637956739.9651,48757,3998590.40946974,303830366.806975,,838400805.287186,3998590.40946974,-21944630.003185004,6966470162.96848,-4786276061.15299,-4786276061.15299,-4560893117.10373,1998197549.10288,3393637154.68733,19062291552.712578,34999924814.7362,,6945740798.91708,,187020863.510086,39531700439.0063,,2493390487.31288,-2302984852.95679,,16559744.6650388,200309353.434547,104688386989.065,14297282645.7161,19144070570.1242,102839813822.0618,7799388302.8984,1590126607.92016,96741581338.78336,1940000000,,1940000000,200309353.434547,47444373878.331,,,11
2014-04-30,2077446665.8591,3044767857.05979,,,,3490803685.43464,108547075.394903,9626182407.01618,3711416615.66043,35438180235.4879,,,3765367356.23607,-4854765509.89231,4863079514.08451,45744,3998590.40946974,303830366.806975,,659372736.990018,3998590.40946974,-21804800.174435005,6966470162.96848,2551248862.87431,2551248862.87431,2690295904.15738,1451249330.36147,3111333858.12579,16389823202.44207,26628889744.7427,,5310030102.3355,,187020863.510086,36732381495.8814,,2018162502.56808,2096087472.62332,,17809095.2611687,114904143.037116,86085665161.5466,11306949215.234,15516741322.3181,83550643397.2284,9015758509.25477,1394541727.88061,76911200975.48213,1940000000,,1940000000,114904143.037116,38975362015.5054,,,12
2014-07-31,2077446665.8591,3044767857.05979,,,,3490803685.43464,108547075.394903,9626182407.01618,3711416615.66043,35438180235.4879,,,3765367356.23607,-4854765509.89231,4863079514.08451,45744,3998590.40946974,303830366.806975,,659372736.990018,3998590.40946974,-21804800.174435005,6966470162.96848,2551248862.87431,2551248862.87431,2690295904.15738,1451249330.36147,3111333858.12579,16389823202.44207,26628889744.7427,,5310030102.3355,,187020863.510086,36732381495.8814,,2018162502.56808,2096087472.62332,,17809095.2611687,114904143.037116,86085665161.5466,11306949215.234,15516741322.3181,83550643397.2284,9015758509.25477,1394541727.88061,76911200975.48213,1940000000,,1940000000,114904143.037116,38975362015.5054,,,12
2014-10-31,2077446665.8591,3044767857.05979,,,,3490803685.43464,108547075.394903,9626182407.01618,3711416615.66043,35438180235.4879,,,3765367356.23607,-4854765509.89231,4863079514.08451,45744,3998590.40946974,303830366.806975,,659372736.990018,3998590.40946974,-21804800.174435005,6966470162.96848,2551248862.87431,2551248862.87431,2690295904.15738,1451249330.36147,3111333858.12579,16389823202.44207,26628889744.7427,,5310030102.3355,,187020863.510086,36732381495.8814,,2018162502.56808,2096087472.62332,,17809095.2611687,114904143.037116,86085665161.5466,11306949215.234,15516741322.3181,83550643397.2284,9015758509.25477,1394541727.88061,76911200975.48213,1940000000,,1940000000,114904143.037116,38975362015.5054,,,12
2015-01-30,2077446665.8591,3044767857.05979,,,,3490803685.43464,108547075.394903,9626182407.01618,3711416615.66043,35438180235.4879,,,3765367356.23607,-4854765509.89231,4863079514.08451,45744,3998590.40946974,303830366.806975,,659372736.990018,3998590.40946974,-21804800.174435005,6966470162.96848,2551248862.87431,2551248862.87431,2690295904.15738,1451249330.36147,3111333858.12579,16389823202.44207,26628889744.7427,,5310030102.3355,,187020863.510086,36732381495.8814,,2018162502.56808,2096087472.62332,,17809095.2611687,114904143.037116,86085665161.5466,11306949215.234,15516741322.3181,83550643397.2284,9015758509.25477,1394541727.88061,76911200975.48213,1940000000,,1940000000,114904143.037116,38975362015.5054,,,12
2015-04-28,1758230140.69264,3045680970.69597,,,,3188593710.45621,99067960.7892108,7834460211.03896,4904962566.60007,34496906896.8531,,,3507627269.39727,-4854765509.89231,5161951455.06563,43330,3998590.40946974,303830366.806975,,556777560.35631,3998590.40946974,41687096.653346494,6966470162.96848,2537265836.66334,2537265836.66334,2691607549.95005,1419468397.85215,3261280633.53313,14754731776.14055,22675454328.1718,,4310543563.93606,,187020863.510086,36509934595.8209,,1947297053.77955,1522784295.7043,,-1241791.12554113,135585610.22311,79860525650.5994,11197022677.3227,13562224587.0796,73834742642.3577,11647849045.5378,1262615007.49251,68048451133.449875,1940000000,,1940000000,135585610.22311,34175974127.9554,,,13
2015-07-29,1758230140.69264,3045680970.69597,,,,3188593710.45621,99067960.7892108,7834460211.03896,4904962566.60007,34496906896.8531,,,3507627269.39727,-4854765509.89231,5161951455.06563,43330,3998590.40946974,303830366.806975,,556777560.35631,3998590.40946974,41687096.653346494,6966470162.96848,2537265836.66334,2537265836.66334,2691607549.95005,1419468397.85215,3261280633.53313,14754731776.14055,22675454328.1718,,4310543563.93606,,187020863.510086,36509934595.8209,,1947297053.77955,1522784295.7043,,-1241791.12554113,135585610.22311,79860525650.5994,11197022677.3227,13562224587.0796,73834742642.3577,11647849045.5378,1262615007.49251,68048451133.449875,1940000000,,1940000000,135585610.22311,34175974127.9554,,,13
2015-10-29,1758230140.69264,3045680970.69597,,,,3188593710.45621,99067960.7892108,7834460211.03896,4904962566.60007,34496906896.8531,,,3507627269.39727,-4854765509.89231,5161951455.06563,43330,3998590.40946974,303830366.806975,,556777560.35631,3998590.40946974,41687096.653346494,6966470162.96848,2537265836.66334,2537265836.66334,2691607549.95005,1419468397.85215,3261280633.53313,14754731776.14055,22675454328.1718,,4310543563.93606,,187020863.510086,36509934595.8209,,1947297053.77955,1522784295.7043,,-1241791.12554113,135585610.22311,79860525650.5994,11197022677.3227,13562224587.0796,73834742642.3577,11647849045.5378,1262615007.49251,68048451133.449875,1940000000,,1940000000,135585610.22311,34175974127.9554,,,13
2016-01-29,1758230140.69264,3045680970.69597,,,,3188593710.45621,99067960.7892108,7834460211.03896,4904962566.60007,34496906896.8531,,,3507627269.39727,-4854765509.89231,5161951455.06563,43330,3998590.40946974,303830366.806975,,556777560.35631,3998590.40946974,41687096.653346494,6966470162.96848,2537265836.66334,2537265836.66334,2691607549.95005,1419468397.85215,3261280633.53313,14754731776.14055,22675454328.1718,,4310543563.93606,,187020863.510086,36509934595.8209,,1947297053.77955,1522784295.7043,,-1241791.12554113,135585610.22311,79860525650.5994,11197022677.3227,13562224587.0796,73834742642.3577,11647849045.5378,1262615007.49251,68048451133.449875,1940000000,,1940000000,135585610.22311,34175974127.9554,,,13
2016-04-28,1495179701.49254,2933674494.66951,,,,3996808891.258,119662639.658849,8809160221.7484,6580306656.71642,32889294144.9893,,,3848417070.36248,-4854765509.89231,6296989258.32717,42855,3998590.40946974,303830366.806975,,538540660.98081,3998590.40946974,26588260.1279321,6966470162.96848,871119761.19403,871119761.19403,1154655680.17058,1524113074.62687,4106472315.56503,14607857420.04267,23282956379.5309,,5188126298.50746,,187020863.510086,35834861270.7889,,2365959142.85714,-862129130.063966,,-10673667.3773987,274217343.283582,84521641019.1898,17576677671.6418,14470151641.791,71214863432.8358,13589744243.0704,1203203850.74627,70796610362.47334,1940000000,,1940000000,274217343.283582,29936976311.3006,,,14
