datadate,acoq,actq,aoq,apq,atq,capxq,ceqq,cheq,cogsq,count,countq,dcpstkq,dcq,dcvtq,dlcq,dlttq,dmq,dpq,drcq,drltq,drq,dvtq,ebitdaq,ebitq,empq,fatbq,fatlq,gdwliaq,ibq,intanq,invtq,lcoq,lctq,loq,ltq,niq,nopiq,oancfq,obq,piq,ppegtq,ppentq,pstkq,pstkqq,rectq,revtq,scstkcq,spiq,txdiq,txfedq,txfoq,txpq,txtq,xadq,xintq,xrdq,xsgaq
2012-11-13,,,580653085.009709,,50403477105.5146,-52951709.592233,3275392301.16505,,,11,43,,,,22931718361.3204,11465859180.6602,,48060346.8737864,,794950.601941748,794950.601941748,8317508.15184466,436961833.784417,649520463.704033,11965,698952400.582524,,313338029.242718,184331045.708738,1947871459.6893175,,34220373.5533981,,5053835955.72816,46531726028.62135,178854719.339806,,-353928006.990291,,338392305.708738,1341869949.82524,824721252.0,,,,,466975982.213592,-56251504.5436893,4013917.24271845,,135129103.106796,34220373.5533981,135129103.106796,,,,
2013-03-13,,,699780384.737175,,50043268927.1955,-36278630.1984378,3298499920.1103,,,11,44,,,,17939241912.33904,8969620956.16952,,49411812.592358,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,826056033.177813,11834,698586901.915769,,305219023.445746,-9150846.85718809,1905645387.4419448,,37692947.9364577,,4952015972.33217,46176179988.78511,-9150846.85718809,,162120433.159172,,-6018563.37080431,1331115747.50633,799078967.371226,,,,,17782082.1458729,-16759908.7634579,-188656346.448174,,20447527.1136795,37692947.9364577,20447527.1136795,,,,
2013-05-14,,,699780384.737175,,50043268927.1955,-36278630.1984378,3298499920.1103,,,12,45,,,,17939241912.33904,8969620956.16952,,49411812.592358,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,826056033.177813,11834,698586901.915769,,305219023.445746,-9150846.85718809,1905645387.4419448,,37692947.9364577,,4952015972.33217,46176179988.78511,-9150846.85718809,,162120433.159172,,-6018563.37080431,1331115747.50633,799078967.371226,,,,,17782082.1458729,-16759908.7634579,-188656346.448174,,20447527.1136795,37692947.9364577,20447527.1136795,,,,
2013-08-27,,,699780384.737175,,50043268927.1955,-36278630.1984378,3298499920.1103,,,12,46,,,,17939241912.33904,8969620956.16952,,49411812.592358,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,826056033.177813,11834,698586901.915769,,305219023.445746,-9150846.85718809,1905645387.4419448,,37692947.9364577,,4952015972.33217,46176179988.78511,-9150846.85718809,,162120433.159172,,-6018563.37080431,1331115747.50633,799078967.371226,,,,,17782082.1458729,-16759908.7634579,-188656346.448174,,20447527.1136795,37692947.9364577,20447527.1136795,,,,
2013-11-12,,,699780384.737175,,50043268927.1955,-36278630.1984378,3298499920.1103,,,12,47,,,,17939241912.33904,8969620956.16952,,49411812.592358,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,826056033.177813,11834,698586901.915769,,305219023.445746,-9150846.85718809,1905645387.4419448,,37692947.9364577,,4952015972.33217,46176179988.78511,-9150846.85718809,,162120433.159172,,-6018563.37080431,1331115747.50633,799078967.371226,,,,,17782082.1458729,-16759908.7634579,-188656346.448174,,20447527.1136795,37692947.9364577,20447527.1136795,,,,
2013-11-13,,,699780384.737175,,50043268927.1955,-36278630.1984378,3298499920.1103,,,12,47,,,,17939241912.33904,8969620956.16952,,49411812.592358,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,826056033.177813,11834,698586901.915769,,305219023.445746,-9150846.85718809,1905645387.4419448,,37692947.9364577,,4952015972.33217,46176179988.78511,-9150846.85718809,,162120433.159172,,-6018563.37080431,1331115747.50633,799078967.371226,,,,,17782082.1458729,-16759908.7634579,-188656346.448174,,20447527.1136795,37692947.9364577,20447527.1136795,,,,
2014-03-05,,,864575135.31902,710899363.471424,51272068873.9038,-109844076.050801,3348184986.99728,,,12,48,,,,19867093034.6235,8457078135.7726,,54795431.2065316,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,736739817.708691,11718,558095310.704566,,315824653.159964,4913174.78076807,1986934206.985185,,10298738.2824312,,4335816969.00514,47360324973.08743,5957577.26035682,,473736149.531297,,55477862.7154521,1154667471.42425,585544499.244028,,,,,6646650.43846387,-84839851.9806471,-159592668.884185,,43144283.0359843,10298738.2824312,43144283.0359843,,,,
2014-05-07,,,864575135.31902,710899363.471424,51272068873.9038,-109844076.050801,3348184986.99728,,,13,49,,,,19867093034.6235,8457078135.7726,,54795431.2065316,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,736739817.708691,11718,558095310.704566,,315824653.159964,4913174.78076807,1986934206.985185,,10298738.2824312,,4335816969.00514,47360324973.08743,5957577.26035682,,473736149.531297,,55477862.7154521,1154667471.42425,585544499.244028,,,,,6646650.43846387,-84839851.9806471,-159592668.884185,,43144283.0359843,10298738.2824312,43144283.0359843,,,,
2014-05-14,,,864575135.31902,710899363.471424,51272068873.9038,-109844076.050801,3348184986.99728,,,13,49,,,,19867093034.6235,8457078135.7726,,54795431.2065316,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,736739817.708691,11718,558095310.704566,,315824653.159964,4913174.78076807,1986934206.985185,,10298738.2824312,,4335816969.00514,47360324973.08743,5957577.26035682,,473736149.531297,,55477862.7154521,1154667471.42425,585544499.244028,,,,,6646650.43846387,-84839851.9806471,-159592668.884185,,43144283.0359843,10298738.2824312,43144283.0359843,,,,
2014-08-07,,,864575135.31902,710899363.471424,51272068873.9038,-109844076.050801,3348184986.99728,,,13,50,,,,19867093034.6235,8457078135.7726,,54795431.2065316,,1726896.57219759,1726896.57219759,8317508.15184466,436961833.784417,736739817.708691,11718,558095310.704566,,315824653.159964,4913174.78076807,1986934206.985185,,10298738.2824312,,4335816969.00514,47360324973.08743,5957577.26035682,,473736149.531297,,55477862.7154521,1154667471.42425,585544499.244028,,,,,6646650.43846387,-84839851.9806471,-159592668.884185,,43144283.0359843,10298738.2824312,43144283.0359843,,,,
